,a param.,WAPE in %,variance
0,-0.001,44.70765236419467,1393.771490638094
1,-0.00099,44.35634828864549,1369.5007938028318
2,-0.00098,44.00568986816724,1345.4357319504554
3,-0.0009699999999999999,43.65570493014618,1321.576810537287
4,-0.0009599999999999999,43.30639439143349,1297.9234801905213
5,-0.0009499999999999999,42.95778760462574,1274.4755806108974
6,-0.0009399999999999999,42.609874882381675,1251.234127464283
7,-0.0009299999999999998,42.26266839457848,1228.199685751126
8,-0.0009199999999999998,41.91619007283102,1205.372998456031
9,-0.0009099999999999998,41.570450262308285,1182.7530073802702
10,-0.0008999999999999998,41.22545332289043,1160.3407391748972
11,-0.0008899999999999997,40.881233184662285,1138.1367312636366
12,-0.0008799999999999997,40.537825837977806,1116.1409724421824
13,-0.0008699999999999997,40.19524829682185,1094.3521981129795
14,-0.0008599999999999997,39.85346274884208,1072.771869092123
15,-0.0008499999999999996,39.512488697121285,1051.4016519939407
16,-0.0008399999999999996,39.17239906070843,1030.2404043373003
17,-0.0008299999999999996,38.83318977139159,1009.2880005089169
18,-0.0008199999999999995,38.49489541320081,988.544818449053
19,-0.0008099999999999995,38.15751005862674,968.0117112195322
20,-0.0007999999999999995,37.821047575213036,947.6878772914231
21,-0.0007899999999999995,37.48549742536201,927.5757815981887
22,-0.0007799999999999994,37.15095754370328,907.6745397699194
23,-0.0007699999999999994,36.81737748781758,887.9832309104221
24,-0.0007599999999999994,36.48484891102775,868.5011452477189
25,-0.0007499999999999994,36.153382405328394,849.2283987618588
26,-0.0007399999999999993,35.82298526265572,830.167163740212
27,-0.0007299999999999993,35.4936531016962,811.3182178996864
28,-0.0007199999999999993,35.16543367842723,792.681913130005
29,-0.0007099999999999993,34.838325533986186,774.2589333934498
30,-0.0006999999999999992,34.5124188253059,756.0467343288951
31,-0.0006899999999999992,34.18770767526259,738.0466687154109
32,-0.0006799999999999992,33.864138574417936,720.2610803587631
33,-0.0006699999999999992,33.541765912856924,702.6912182806346
34,-0.0006599999999999991,33.22065925477258,685.3363997546309
35,-0.0006499999999999991,32.90086895149775,668.1958178607837
36,-0.0006399999999999991,32.58237365108972,651.2718761865455
37,-0.000629999999999999,32.265223751961265,634.5648502383533
38,-0.000619999999999999,31.94948124306438,618.0740938181582
39,-0.000609999999999999,31.63518018058256,601.8001803829668
40,-0.000599999999999999,31.32233700487751,585.7434019134149
41,-0.0005899999999999989,31.01097515921052,569.9049637711618
42,-0.0005799999999999989,30.70117303789774,554.2850485415863
43,-0.0005699999999999989,30.392928428159543,538.8831104955799
44,-0.0005599999999999989,30.086266713930186,523.7014250517874
45,-0.0005499999999999988,29.781259953656676,508.7411036521737
46,-0.0005399999999999988,29.477928533629544,494.0028549352374
47,-0.0005299999999999988,29.176392021302835,479.48494489617286
48,-0.0005199999999999988,28.876618337058883,465.18825854694734
49,-0.0005099999999999987,28.57866180953922,451.11140693116613
50,-0.0004999999999999987,28.28261022398416,437.25642897092536
51,-0.0004899999999999987,27.988440326668197,423.621711124542
52,-0.00047999999999999866,27.69626721921661,410.2076945465576
53,-0.00046999999999999863,27.406141634308806,397.0163170040675
54,-0.0004599999999999986,27.118201910045208,384.04792826209075
55,-0.0004499999999999986,26.832447689223045,371.3037632196058
56,-0.00043999999999999855,26.549005962463934,358.78530468994336
57,-0.0004299999999999985,26.267946626967515,346.49225941048087
58,-0.0004199999999999985,25.989296512051453,334.4237275283094
59,-0.0004099999999999985,25.71311192421181,322.58145968096653
60,-0.00039999999999999845,25.439391632652764,310.9661569682942
61,-0.0003899999999999984,25.168273839000626,299.57715210425926
62,-0.0003799999999999984,24.89978796236058,288.4149734093955
63,-0.00036999999999999837,24.634159433983466,277.4801393440538
64,-0.00035999999999999834,24.371437262493483,266.7743769334292
65,-0.0003499999999999983,24.111690528816542,256.2963267822234
66,-0.0003399999999999983,23.85510793799177,246.04573228247003
67,-0.00032999999999999826,23.601763569346407,236.0204751680675
68,-0.00031999999999999824,23.351862816452275,226.222057217721
69,-0.0003099999999999982,23.105362482824983,216.65038822986065
70,-0.0002999999999999982,22.862381614447926,207.305128567255
71,-0.00028999999999999816,22.623023646500464,198.18754464882247
72,-0.00027999999999999813,22.387320228391367,189.29697684909192
73,-0.0002699999999999981,22.155318807774773,180.6321701867445
74,-0.0002599999999999981,21.927321973676246,172.19228484963412
75,-0.00024999999999999805,21.70342706790342,163.97483211598396
76,-0.00023999999999999803,21.483695803467924,155.9786890873719
77,-0.000229999999999998,21.268455265646693,148.20453295521625
78,-0.00021999999999999797,21.05772069388156,140.65051100682467
79,-0.00020999999999999795,20.851483586864095,133.31673939861832
80,-0.00019999999999999792,20.64999005480447,126.2015225912956
81,-0.0001899999999999979,20.453425166404752,119.30336657605945
82,-0.00017999999999999787,20.26169443855677,112.62073142386375
83,-0.00016999999999999784,20.075131880967334,106.15383600333475
84,-0.00015999999999999782,19.893850152369467,99.9001972513781
85,-0.0001499999999999978,19.71798545607374,93.85843536174062
86,-0.00013999999999999777,19.547605656109802,88.02783913044262
87,-0.00012999999999999774,19.38274579996938,82.41023948231205
88,-0.00011999999999999771,19.223675620325267,77.0024523001694
89,-0.00010999999999999769,19.070500608068063,71.80369392742745
90,-9.999999999999766e-05,18.923235895489203,66.81313870711575
91,-8.999999999999763e-05,18.782015894040967,62.02864632310591
92,-7.999999999999761e-05,18.64695520934295,57.4512864719857
93,-6.999999999999758e-05,18.51828777947618,53.08103540882542
94,-5.9999999999997555e-05,18.39620950729232,48.9167519774749
95,-4.999999999999753e-05,18.28061941957183,44.95932962933827
96,-3.99999999999975e-05,18.171648883808643,41.207891369851005
97,-2.9999999999997477e-05,18.069592602412158,37.663776544916566
98,-1.999999999999745e-05,17.974574206622798,34.32500478433464
99,-9.999999999997424e-06,17.886752297377118,31.191432173810696
100,2.6020852139652106e-18,17.806267443844483,28.261017937788328
101,1.0000000000002628e-05,17.733469456836772,25.533724637888813
102,2.0000000000002655e-05,17.668082568964323,23.002666373009145
103,3.000000000000268e-05,17.61039167944934,20.66844040815001
104,4.000000000000271e-05,17.560411006559995,18.527780781968357
105,5.000000000000273e-05,17.518581782778142,16.581825397465945
106,6.000000000000276e-05,17.485041776803616,14.827641981859054
107,7.000000000000279e-05,17.46004841057472,13.257976803129313
108,8.000000000000281e-05,17.443864613010746,11.86892577781572
109,9.000000000000284e-05,17.436645404795254,10.653904940240263
110,0.00010000000000000286,17.438632846276107,9.607888782431875
111,0.00011000000000000289,17.449663711083183,8.723832935881457
112,0.00012000000000000292,17.4699655051757,7.995517251557911
113,0.00013000000000000294,17.499421160544678,7.412699332549957
114,0.00014000000000000297,17.53822953765751,6.970742075722253
115,0.000150000000000003,17.586508116822305,6.66124795147786
116,0.00016000000000000302,17.644229277601134,6.47319401375922
117,0.00017000000000000305,17.711335786764995,6.398638922031662
118,0.00018000000000000307,17.78785531368198,6.4357515424988625
119,0.0001900000000000031,17.874141589509573,6.580294357998154
120,0.00020000000000000313,17.97009588480305,6.825582099684656
121,0.00021000000000000315,18.07513504159747,7.165130575116251
122,0.00022000000000000318,18.18908432740297,7.595023573830858
123,0.0002300000000000032,18.31195776718168,8.113046957554381
124,0.00024000000000000323,18.44363557610281,8.717672988627
125,0.00025000000000000326,18.583830249280275,9.40665306765497
126,0.0002600000000000033,18.732264356973854,10.180108794602525
127,0.0002700000000000033,18.88877863525879,11.03994336233377
128,0.00028000000000000334,19.053173470176596,11.988802042999255
129,0.00029000000000000336,19.224894581212954,13.02597631469293
