,bias_harg_,bias_harg_Rs,bias_livia_,bias_modif_,bias_modif_droog,bias_Berti,bias_droogersAllen2,bias_traj_balk,bias_Ravazzani,bias_perc_harg_,bias_perc_harg_Rs,bias_perc_livia_,bias_perc_modif_,bias_perc_modif_droog,bias_perc_Berti,bias_perc_droogersAllen2,bias_perc_traj_balk,bias_perc_Ravazzani,MAPE_harg_,MAPE_harg_Rs,MAPE_livia_,MAPE_modif_,MAPE_modif_droog,MAPE_Berti,MAPE_droogersAllen2,MAPE_traj_balk,MAPE_Ravazzani,MAE_harg_,MAE_harg_Rs,MAE_livia_,MAE_modif_,MAE_modif_droog,MAE_Berti,MAE_droogersAllen2,MAE_traj_balk,MAE_Ravazzani,KGE_harg_,KGE_harg_Rs,KGE_livia_,KGE_modif_,KGE_modif_droog,KGE_Berti,KGE_droogersAllen2,KGE_traj_balk,KGE_Ravazzani,R_harg_,R_harg_Rs,R_livia_,R_modif_,R_modif_droog,R_Berti,R_droogersAllen2,R_traj_balk,R_Ravazzani,RMSE_harg_,RMSE_harg_Rs,RMSE_livia_,RMSE_modif_,RMSE_modif_droog,RMSE_Berti,RMSE_droogersAllen2,RMSE_traj_balk,RMSE_Ravazzanil,WAPE_harg_,WAPE_harg_Rs,WAPE_livia_,WAPE_modif_,WAPE_modif_droog,WAPE_Berti,WAPE_droogersAllen2,WAPE_traj_balk,WAPE_Ravazzani
11800,-42.35527038584427,-107.8853148890487,-17.022764506639515,-201.57185209264833,6.681026590489702,-136.6016564595367,28.695907863695957,-166.91005811628764,-731.5806192457096,-2.8956351218011362,-13.774978063629383,0.17317295044542608,-23.55134028368172,3.5119035037573845,-15.134438580368409,6.379838559972045,-18.99570539812343,-92.29990946623201,6.7704562358603075,13.640116708958534,4.277913559531714,25.48505874606058,2.4813810364644637,17.470862302911577,3.8334415513761164,21.192164419108313,92.49493352071195,53.550333808256944,107.8853148890487,33.835784640690875,201.57185209264833,19.626267149375643,138.1842634597765,30.320272011114866,167.617578377052,731.5806192457096,0.8602700751076602,0.8165483012078361,0.9096133589074481,0.5954168650886025,0.9236370271557943,0.7059193689971526,0.937900235490214,0.6519814108052802,-0.31231923148362273,0.9960793855667842,0.996918454414514,0.9928052088989457,0.9960979200556408,0.997266565130399,0.9959123052100578,0.9971153213780604,0.9967602108440509,0.9960793855667842,57.23154609158522,113.70946647450344,40.02166623130622,217.25649810257661,26.955929857102607,150.4268178095293,36.45673052453444,181.62619856885937,768.0792825314039,6.770456235860307,13.640116708958534,4.277913559531713,25.48505874606058,2.4813810364644633,17.470862302911573,3.833441551376116,21.19216441910831,92.49493352071195
11801,-13.067398003222062,-144.6701447736837,39.05114588193776,-186.9464532251412,37.509273110331584,-117.87367290267213,58.873386359558076,-159.09093217965497,-779.7006982629682,-1.984410629141382,-17.05747912525147,3.712053775184168,-22.18531954751036,4.179789267174093,-14.187816043359888,6.610984479778059,-18.873294643738053,-91.10497956150797,2.575915616207288,16.896425104669436,5.487488716032517,21.833991736467652,4.415484380223108,13.766791269393927,6.910179085050645,18.580668628006798,91.063394405721,22.055439704728684,144.6701447736837,46.984837447833065,186.9464532251412,37.80614896794247,117.87367290267213,59.166161034270175,159.09093217965497,779.7006982629682,0.9812637528077908,0.7677155113684384,0.8973418242231659,0.7028932924221536,0.9295201967354185,0.8188838593182761,0.8926550500410424,0.7465849549963242,-0.2864504044921583,0.9914468029576032,0.9927772522203578,0.9835639166084935,0.9916625988252951,0.9949007336629335,0.991045942172648,0.9943614454985831,0.9930930465116543,0.9914468029576033,26.903834489022156,148.76371924322927,54.18031564089304,191.50410896257443,42.99287014182889,121.82611659185736,63.82509285996118,163.1743509411115,796.5107501695636,2.575915616207288,16.896425104669447,5.487488716032516,21.83399173646765,4.415484380223108,13.766791269393925,6.910179085050644,18.5806686280068,91.06339440572098
11806,-40.5856087860773,-126.66924470630887,-15.326648602244862,-155.5665609971472,22.892967174225337,-125.29022139650027,24.47335867774544,-153.6479747896674,-611.2660548595177,-2.487066375459699,-17.345825229595388,0.40827864492515004,-19.034052868008715,7.25179465527836,-14.778659617560743,7.37908815669264,-18.647110778630736,-85.00756331692028,7.631308855191802,17.78169111358005,6.672127609573039,21.75914168514809,4.723384177835407,17.591848847345386,4.878569494643939,21.490788455147133,85.49796697796549,54.559894488833805,127.129855362875,47.702246796980226,155.5665609971472,33.76974346905131,125.77258176645422,34.879237878457836,153.6479747896674,611.2660548595177,0.8627987557025742,0.763446794362814,0.9201483928821288,0.6502821886311927,0.9413678716111815,0.7078203312214473,0.9420792908530353,0.6508723436964398,-0.21655135380663437,0.9897152594681355,0.9976782853348979,0.980389178546069,0.9901135865615338,0.9932733228742421,0.9892101298822128,0.9928332585071007,0.9918143355107183,0.9897152594681353,64.78034703279519,134.95142808102452,58.46492315311105,176.03868523702963,40.9637639892875,145.2794028209527,42.44275188478074,173.9708672211634,656.3832337648893,7.6313088551918025,17.78169111358005,6.672127609573041,21.75914168514809,4.723384177835407,17.591848847345393,4.87856949464394,21.49078845514714,85.49796697796552
11810,-65.88148237593283,-137.37263329178876,-49.714850749449596,-243.9796584948129,-5.939702369626459,-172.17365489599695,18.24070543199505,-202.8070193747759,-837.7441824090957,-7.310749732464604,-15.249911122837348,-5.564585692549503,-26.982462879607628,-0.6635929847391117,-19.053558230363222,2.003102901226985,-22.426091135213156,-92.56834856999558,7.279519436318638,15.178874518329922,5.652860548445047,26.95832883578505,1.866205566618737,19.02418436922248,2.604077038647306,22.4089924227305,92.5658445830247,65.88148237593283,137.37263329178876,51.15981018443797,243.9796584948129,16.889629902442696,172.17365489599695,23.567552367711585,202.8070193747759,837.7441824090957,0.9104788525756866,0.842395089952988,0.8288275123906815,0.6665357591661913,0.9418474604426822,0.7812287709703396,0.9058788339425012,0.7222681958264592,-0.3041460686518358,0.9558239386665709,0.9670605130998695,0.9242894350957308,0.9560997894236086,0.9696553830371377,0.9540694602531814,0.9676516632973079,0.9631598046086324,0.9558239386665709,69.85158027385431,138.7545473682723,60.09573152105172,245.27408073330633,20.597880549331393,173.74646563118327,28.10459163347061,204.07219405882478,840.7222617641062,7.279519436318637,15.178874518329925,5.652860548445047,26.95832883578504,1.8662055666187367,19.02418436922247,2.604077038647305,22.408992422730496,92.56584458302467
11813,-121.12157930735137,-146.25371336423197,-115.59561535393674,-277.41684882987636,-43.138488198939804,-227.32372327274066,-32.90053683633125,-254.7988683023677,-849.6444852443728,-12.728311685330363,-15.398144409747502,-12.186957882269853,-29.081630551734122,-4.542741580896885,-23.844009551976793,-3.4755893212563884,-26.70856731632844,-88.96582547805444,12.681737164498008,15.31313546953105,12.10315469522665,29.046249082802706,4.516709343960394,23.801371533346604,3.479781379765147,26.67808904161185,88.9599368399283,121.12157930735137,146.25371336423197,115.59561535393674,277.41684882987636,43.138488198939804,227.32372327274066,33.23492758873563,254.7988683023677,849.6444852443728,0.6687018515111627,0.5011415356266354,0.37972863947106317,0.6983906873195138,0.7547714787676105,0.7106184870997976,0.7120507847969089,0.7232384621234311,-0.2228147179130433,0.9285878241968645,0.9843058399964224,0.9209904938585814,0.9275640377435805,0.927309982734698,0.9282465093982064,0.9282471101331883,0.9297160176153478,0.9285878241968645,122.54716439096975,147.4259086420555,118.9329956442768,277.76304316830266,46.41819799380353,227.84393352907477,37.57554916451334,255.1573505175871,850.1833186456328,12.681737164498012,15.313135469531048,12.103154695226648,29.046249082802706,4.516709343960394,23.80137153334661,3.479781379765148,26.678089041611848,88.95993683992832
11816,-62.43476033121855,-142.66591314072065,-31.72116228996253,-259.3324046453925,-11.247952360442413,-173.1684378731722,20.7929108247905,-209.0993997672728,-890.8643527386226,-6.57767175892566,-15.224698485310922,-3.3352202299687486,-27.481466202721954,-1.1276647874914116,-18.33439190705192,2.270656643955142,-22.14415893293496,-94.52622550494917,6.796370210521642,15.138180231118659,5.024474182853762,27.517580022209327,3.0952046383402676,18.374781790234948,3.147052087491108,22.187391018718554,94.52899320059693,64.05065518597085,142.66591314072065,47.35187363374636,259.3324046453925,29.169965566830687,173.1684378731722,29.658588608979205,209.0993997672728,890.8643527386226,0.6761696516854,0.6895969530124872,0.4715001487426984,0.5475104346014475,0.7141077011972565,0.6271431491743422,0.7143295931692792,0.5958737573402031,-0.3679927239282921,0.6876780248701885,0.9840350465427822,0.6150204220361,0.6886618897403997,0.7163195809144484,0.682056014365117,0.7162465286966447,0.7142703426280411,0.6876780248701884,71.74464634782642,143.41686321413383,56.834936249490276,261.30304529433806,34.12314025108077,176.4047434590068,39.13699327451233,211.34981453333856,891.8378612419771,6.796370210521641,15.138180231118659,5.02447418285376,27.517580022209323,3.0952046383402676,18.37478179023495,3.147052087491108,22.187391018718554,94.52899320059694
11818,-18.29661374616372,-127.32436583505358,30.324200988848972,-216.16153141688625,21.41895730510207,-126.26513358632054,56.03270362307781,-167.00468639753805,-841.2901960796418,-2.245047838339516,-14.775944336106207,2.832322681654413,-24.61897232699791,2.778796906282574,-14.449811199326465,6.550760943497294,-18.94830227556056,-95.13366743511357,3.2841270696078735,14.396598026694477,4.714801852130834,24.441438653424193,2.743753365377141,14.276830370269023,6.335631873127867,18.883261839719292,95.12489378857842,29.045014362713605,127.32436583505358,41.69798689575055,216.16153141688625,24.265917309538867,126.26513358632054,56.03270362307781,167.00468639753805,841.2901960796418,0.9737430642736833,0.8139478619052456,0.8896026960872003,0.6672757927516134,0.9583891664752251,0.8129066184991649,0.9016566759401166,0.7416234601122752,-0.34450873077821664,0.9842258936494436,0.9898237741289745,0.9651168604549247,0.984031090953679,0.990364094858554,0.9832675654946577,0.9896940788385021,0.9880418267498409,0.9842258936494437,34.21609200496446,130.57359890764522,56.584000551686,220.72027649899175,31.807235905048685,130.76277363375578,62.215315715921115,170.96153424408428,855.3558009136576,3.284127069607874,14.396598026694477,4.714801852130834,24.441438653424186,2.7437533653771413,14.276830370269025,6.335631873127867,18.883261839719292,95.12489378857845
11819,-49.92608685226267,-160.74448099443208,-8.246111950886807,-235.27035256453547,3.2710845440121776,-158.5057811415287,28.909624548583512,-197.31562575152748,-850.6175676776703,-5.385715937237136,-17.53421454048923,-0.8775291320536069,-25.588817725836932,0.43104904706830466,-17.223182376578475,3.223693714050957,-21.443750249898443,-92.66409076110388,5.735378728680689,17.511872096725174,3.466158035533577,25.630891317533283,2.0221997484030045,17.267983004891533,3.296369706735105,21.496016407342342,92.66822696646612,52.64602619046593,160.74448099443208,31.816459793051962,235.27035256453547,18.562118728865077,158.5057811415287,30.25794356812326,197.31562575152748,850.6175676776703,0.8440259936875677,0.810896767854736,0.7025604436049424,0.6279451824821021,0.8706193183499794,0.7380204481846614,0.8732661660917125,0.6623626407588212,-0.31649304089727015,0.8547641889953966,0.9307211177224028,0.8072518908044757,0.8552590288869353,0.8829319357086174,0.8518292247845102,0.8779902004484131,0.8675505321521141,0.8547641889953967,57.46906373445674,161.942756472821,39.402941386567534,236.92273147085888,25.41961344734663,160.94233205465667,38.9652613911309,199.14342136835333,852.0743189905846,5.735378728680689,17.511872096725174,3.4661580355335766,25.63089131753328,2.0221997484030045,17.267983004891537,3.2963697067351045,21.496016407342342,92.66822696646612
11820,3.323153960796817,-125.24718156335273,61.771816928537056,-207.61326460133515,42.24853597051185,-111.14802614512578,79.51901408229246,-156.54729057132374,-873.0058433100972,0.33650772190536354,-13.7179982680083,6.672913076433075,-22.634828710641518,4.594038533487911,-12.13056067534994,8.649690127073436,-17.066896697899058,-95.09355952776762,2.176488360159821,13.642571158116779,6.976731179021551,22.614311159249226,4.613276293721091,12.106818188176975,8.661622517168002,17.051941006348162,95.0923141754323,19.98149979619315,125.24718156335273,64.050676853368,207.61326460133515,42.35270953436289,111.14802614512578,79.51901408229246,156.54729057132374,873.0058433100972,0.5138384706390391,0.2756058226242497,0.08682466222464291,0.6929390193278383,0.6396367987690411,0.6436843759622456,0.5515863588606901,0.730085248371191,-0.3386098019125545,0.8410645987137597,0.90168929824906,0.8246849488162992,0.8414228460450103,0.8421620399304909,0.8403328458116297,0.8425794594845941,0.8430455333810055,0.8410645987137595,25.34607335533778,128.31507011727825,71.99902755552868,208.46238834404878,47.656002674871964,113.2333657256839,83.04607988199835,157.66804491452478,873.4798602250938,2.176488360159821,13.642571158116777,6.976731179021551,22.614311159249226,4.613276293721092,12.106818188176973,8.661622517168,17.051941006348162,95.09231417543228
11826,-32.86302102845884,-157.59855452285123,15.671154879309517,-223.53443720270155,16.97466570085409,-142.58215316368796,44.7011259090637,-183.87706717439568,-849.7078922888047,-3.6419479726390582,-17.330679579364016,1.6315245090687884,-24.519075154991654,1.8394555115558653,-15.657542965091897,4.871705621148618,-20.167898876694917,-93.08073139157389,3.6991440291293163,17.26347649055402,3.5081768742849926,24.48614781500756,2.1557879288699335,15.618567420026663,4.896598440060711,20.14204658112477,93.07770789381857,33.76954533356028,157.59855452285123,32.0262031057492,223.53443720270155,19.680222673203268,142.58215316368796,44.7011259090637,183.87706717439568,849.7078922888047,0.5379097251517106,0.5505459096245786,0.056599515337183326,0.7044501636716193,0.6844348718472213,0.6565402673371495,0.6057909360374585,0.750957158104595,-0.29525686088220815,0.9058239444427976,0.9801922492481081,0.890582087518782,0.9058137932643237,0.9101181918241563,0.9049517952877687,0.9099050726191995,0.9092274988427219,0.905823944442798,39.4072962519008,158.3142052868097,39.205698366261586,224.04993106482965,24.71462069333633,143.72548736004194,48.875361731094564,184.45793275780812,850.187759596394,3.6991440291293163,17.26347649055402,3.508176874284994,24.486147815007552,2.155787928869934,15.618567420026661,4.896598440060711,20.142046581124777,93.07770789381858
