,var_PM,var_harg_,var_harg_Rs,var_livia_,var_modif_,var_modif_droog,var_Berti,var_droogersAllen2,var_traj_balk,var_Ravazzani,se_PM,se_harg_,se_harg_Rs,se_livia_,se_modif_,se_modif_droog,se_Berti,se_droogersAllen2,se_traj_balk,se_Ravazzani,mean_PM,mean_harg_,mean_harg_Rs,mean_livia_,mean_modif_,mean_modif_droog,mean_Berti,mean_droogersAllen2,mean_traj_balk,mean_Ravazzani,median_PM,median_harg_,median_harg_Rs,median_livia_,median_modif_,median_modif_droog,median_Berti,median_droogersAllen2,median_traj_balk,median_Ravazzani,nadm_vyska
11800,3381.623272568437,2803.7776689656876,2359.728300885247,3256.6266925258487,1734.351141281004,2970.3560453197065,2153.5064781173583,3184.27844940309,1902.1783931565021,17.630219977949643,3.0069541825683577,2.7380160217212706,2.5118586663238487,2.9508571638434167,2.1534396942552463,2.8181782171150345,2.399591363449981,2.91789538898806,2.255224708177807,0.2171166175341976,67.67412096520643,64.0501406113374,58.443291883790494,66.21762774538699,50.427331481343465,68.2457596039649,55.98627870128884,70.12938580915902,53.39304647397325,5.078987767712552,48.479898345405786,47.25333157300876,40.65016840756509,47.54830827292156,37.25783911587862,52.08419012084184,41.20041031259949,53.29509064465677,39.83271892030186,3.747050213352615,180.0
11801,3173.006308449132,3072.358386009283,2164.5340289208775,3776.491262686284,1923.2512762257668,3179.5616951918573,2368.448196513513,3399.3247086532047,2050.377055073202,25.303200882924088,3.015246029795593,2.967038785998545,2.490402223483248,3.2895124061418692,2.347498379654543,3.018359150813642,2.605069004312687,3.1209270115806564,2.4238411434048017,0.2692619695770784,76.05370141606954,74.89298698025324,63.20334471697441,79.52242784111273,59.44814253360713,79.38547066082677,65.58354708947114,81.28314261133114,61.92241517661593,6.796619335404725,68.80478243682815,65.59220946822171,53.57307633596326,68.21165603440204,52.22749561365399,70.12613642530346,57.54734204555922,71.37703588893339,53.77587042918757,5.9525637459376055,206.0
11806,3042.2136703042047,2573.782926743077,2002.594207428136,3020.964184851589,1733.7453050008442,2860.298362424925,1978.3885896533557,2920.942894712553,1740.1343389674066,60.84038002345133,3.0135087251788355,2.7718106193751457,2.444973037990787,3.0029657901598577,2.2749415639540076,2.92202054526317,2.4301517609101686,2.9528346586847714,2.279129408916763,0.42616085542535426,64.0251992575103,60.39066712741383,52.68168480619905,62.65266356178687,50.093865436870246,66.07531572087377,52.80517943095804,66.21684331820393,50.265679127092326,9.284955538747537,43.55229429034359,42.04560655755232,35.79836272123994,41.80759888348338,35.71449073421273,48.65112804530511,36.62011765816036,48.2112834443892,35.58783836314131,6.464435749035304,349.0
11810,3285.7059547762938,2853.5922441885373,2356.632812875687,3259.2206599723954,1765.9184330044886,3017.3688438969043,2189.4600068217387,3241.03391373685,1944.5000161455087,18.344413889749692,2.6697087489625106,2.4879720392496245,2.2609736317099816,2.6589270339256315,1.9571984232883834,2.5583722641278763,2.1793051524631832,2.6514981291992608,2.053778073068653,0.1994809636493147,76.56395057114467,70.9904629081048,64.94240458767447,72.35813890253614,55.92358900650758,76.06145948130643,61.99828345412975,78.107090510077,59.40674068911374,5.691883078835052,66.17305114891523,59.17868887889849,51.60497756810929,60.17057551915265,46.69010259060346,64.52524661872172,51.6935623092768,65.84613954774846,49.47311059821746,4.744837039497463,182.0
11813,3451.1627124619313,2689.3520353088693,2495.6889240613864,2990.6844236623406,1746.924717104207,2957.3001368316536,2060.0264454187904,3082.525484101853,1845.9429205948688,42.99130189497235,2.648501153230344,2.337982607589716,2.2522296649186115,2.4654871480830076,1.8843195042545842,2.4516877117277183,2.0462271674400916,2.503057270498222,1.9369864494296607,0.2956022579556529,79.59055460111183,69.49708965883255,67.4027451540925,69.95758665495043,56.4724838652888,75.9956805845335,60.646910995050106,76.84884319808421,58.35731557591452,8.786847497414087,71.19935816006624,58.531577784746915,56.89426684849249,59.607654771984336,47.92651283345807,64.76722980440977,51.13433338664403,65.1135164518985,48.903452291328556,7.400425691239529,287.0
11816,3391.4859873576575,2938.212433543525,2428.8224886378953,3430.4490569428654,1776.909697830649,3037.255182755922,2257.2793877031245,3311.1843948518804,1991.1355790434154,10.086851396115275,2.62550265700617,2.443762773049406,2.2218530722051058,2.640541124998946,1.9004223417155364,2.48460920302979,2.1419538359098573,2.594233910624151,2.0117215350642064,0.14318425360321257,78.53537158066659,73.33247488639839,66.64654548560655,75.89194138983638,56.92433786021722,77.59804221729641,64.10466842456893,80.26811414939915,61.11042160006054,4.296675519114721,70.0373628670207,62.24343582965221,55.7126264599645,63.71031581723417,48.27987420201506,67.12834677281329,54.305250109447215,69.0971087157439,52.07735295819457,3.646949695467854,133.0
11818,3425.3462640678495,3140.0730114440926,2349.1605013294447,3828.2310151347174,1880.4881162851807,3177.1456539051787,2419.186104643951,3486.1543694253564,2101.3258423841476,7.781544075582329,2.691049397260183,2.5765543191443205,2.2285674070577475,2.84490978062649,1.9939062113001378,2.5917194753913853,2.2615389363814744,2.714830606275909,2.1077355976614713,0.12826327373896815,76.66097863267615,75.07501422761756,65.62440569559962,79.28950345411972,57.923932569055985,78.51759015383722,65.7162207531008,81.51793602917972,62.18488530857666,3.737304131058171,68.0496492922322,64.97819991806055,55.23399995158458,64.91882958768468,49.98847168545698,68.76700976361882,56.995048379988724,70.97745262878502,53.55945314779455,3.234675310832743,113.0
11819,3273.734150815444,3019.3310312015615,2194.029235231849,3660.8963985206574,1863.6342627834358,3121.6782440887296,2325.6623237116823,3361.4438263434454,2022.167522731354,18.15119467299612,2.5821469740413314,2.4797883718265052,2.1138806291079493,2.730567855163287,1.948227176154045,2.5214671981086614,2.1763692572758986,2.6165086991243838,2.029400763707847,0.19227014829306102,76.6488880323522,72.47990725650135,63.226232796564595,75.96031249266511,57.00309484468223,76.92203358490718,63.41317107348728,79.06293000076752,60.172430484872315,5.619722503259571,68.2224558080462,58.82107131177363,51.34095708067234,62.23669204564193,46.317620678345556,63.46328892852835,51.517291197953284,64.75438522413603,48.598647565072866,4.5606859973866705,176.0
11820,3389.959139708783,3215.617668358459,2394.466608114807,3925.1931078246935,1924.275452096397,3244.1946553936245,2477.6950963965933,3563.742985367333,2150.4659363969104,7.6891708766767435,2.624911589571472,2.556522690887225,2.2060829651248013,2.8245415153616364,1.9776574444720205,2.5678573901218313,2.2440957294827033,2.6913528292588507,2.0906615518500273,0.12501358362516607,76.50511776198174,76.7820472587148,66.06785263170234,81.65276917269317,59.204012378537136,80.02582909285772,67.24278224988791,83.13170226883943,63.45951021437142,3.7546308194736158,68.80221935541789,65.93065255457543,55.615817768495134,69.9042917662037,50.75577245768606,70.15521991988942,57.64122979215971,72.56782286490304,54.911828995367394,3.2239992142345395,111.0
11826,3289.054060078547,3048.891521963389,2223.3985538367565,3708.3545787461876,1870.0813093290915,3137.0459182852246,2348.8077872497925,3390.9231238168586,2040.6788867377747,15.721223070199596,2.585550082245928,2.489364173384534,2.1258181370241256,2.7454154611574126,1.9496097740302003,2.525095956594644,2.1849484130250945,2.625284778906751,2.036595520595013,0.17875599410155438,76.07513402118231,73.33654893547741,62.94192114427804,77.38106359445811,57.44726425429051,77.48968949625348,64.1932879242083,79.80022784693762,60.752045089982666,5.2661429971152485,67.08373664257499,61.598470986115316,49.47990888342683,65.51822799195611,48.26417676777119,66.53754216000897,53.99993836886634,68.16181619726125,51.33607316749821,4.423256361598607,163.0
