,a param.,WAPE in %
0,0.0,100.0
1,0.0001,96.7366053269374
2,0.0002,93.47680973878431
3,0.00030000000000000003,90.22128665249916
4,0.0004,86.97038487060362
5,0.0005,83.72323724933896
6,0.0006000000000000001,80.4814018053736
7,0.0007,77.24409075362881
8,0.0008,74.01347021478665
9,0.0009000000000000001,70.78962813914089
10,0.001,67.57316383618443
11,0.0011,64.36304850377063
12,0.0012000000000000001,61.159745028803854
13,0.0013000000000000002,57.96471506913864
14,0.0014,54.780185545522635
15,0.0015,51.60639905650696
16,0.0016,48.44555980190752
17,0.0017000000000000001,45.30262989635048
18,0.0018000000000000002,42.185817605585555
19,0.0019,39.10228299849027
20,0.002,36.063708799614595
21,0.0021000000000000003,33.1048502475724
22,0.0022,30.270894794472987
23,0.0023,27.61842184114091
24,0.0024000000000000002,25.211273873953566
25,0.0025,23.109734048736033
26,0.0026000000000000003,21.382676255855618
27,0.0027,20.077278599406235
28,0.0028,19.17333695855182
29,0.0029000000000000002,18.708911109515796
30,0.003,18.712799320830378
31,0.0031000000000000003,19.18159355343295
32,0.0032,20.058369695713065
33,0.0033,21.31169260671877
34,0.0034000000000000002,22.91439424556172
35,0.0035,24.80106552731126
36,0.0036000000000000003,26.90977856205793
37,0.0037,29.215370684576662
38,0.0038,31.66882622298377
39,0.0039000000000000003,34.25207648954134
40,0.004,36.94754286516358
41,0.0041,39.726012932615404
42,0.004200000000000001,42.58403635221234
43,0.0043,45.51145872369429
44,0.0044,48.49443568235083
45,0.0045000000000000005,51.51663910006634
46,0.0046,54.57148916853624
47,0.0047,57.65689786476266
48,0.0048000000000000004,60.770063078745736
49,0.0049,63.9088732364703
