,a param.,WAPE in %,variance
0,0.0,100.0,6.731613057885967e-30
1,0.0001,96.71732339230746,0.10745844951419405
2,0.0002,93.43745460144588,0.42958271032104994
3,0.00030000000000000003,90.16050114370856,0.965944135905139
4,0.0004,86.886584875203,1.7161112773655725
5,0.0005,83.61593937809101,2.6793313092935875
6,0.0006000000000000001,80.34884634034587,3.854658724392633
7,0.0007,77.0855974575653,5.2411493370711755
8,0.0008,73.82652768764925,6.837389675672318
9,0.0009000000000000001,70.57198695877825,8.642251224718843
10,0.001,67.32250200200113,10.654209601632777
11,0.0011,64.0786225921611,12.870123058930911
12,0.0012000000000000001,60.84099521049465,15.286523976304263
13,0.0013000000000000002,57.61052391458452,17.899688473955617
14,0.0014,54.3881372382812,20.704072078941927
15,0.0015,51.17553190508984,23.68949722479038
16,0.0016,47.975339073743534,26.842186769034583
17,0.0017000000000000001,44.79057093297995,30.14696361615675
18,0.0018000000000000002,41.62767200857342,33.564256986217835
19,0.0019,38.49808876521423,37.01286742165904
20,0.002,35.42417910371712,40.34570234765466
21,0.0021000000000000003,32.435898522859226,43.36744166617435
22,0.0022,29.57669632871462,45.79054718828351
23,0.0023,26.899118449858516,47.306730211355756
24,0.0024000000000000002,24.465140553936802,47.62229232878135
25,0.0025,22.333458317464483,46.538806586591974
26,0.0026000000000000003,20.56176991984281,44.0342659486958
27,0.0027,19.198302546751897,40.26811924384774
28,0.0028,18.28442929564771,35.55205437516771
29,0.0029000000000000002,17.845664307578158,30.37070012812254
30,0.003,17.892141958684086,25.281985907420623
31,0.0031000000000000003,18.41236162827783,20.838588975225594
32,0.0032,19.377534173502795,17.509285148165628
33,0.0033,20.742682240419622,15.638210673160254
34,0.0034000000000000002,22.453786618799906,15.36250984645476
35,0.0035,24.451548222548887,16.69540419070655
36,0.0036000000000000003,26.683196984775005,19.604912222170903
37,0.0037,29.10343052640493,24.00559507112437
38,0.0038,31.674401424233412,29.778292797837633
39,0.0039000000000000003,34.365478378086024,36.81916116935202
40,0.004,37.15428881838273,44.97082422105416
41,0.0041,40.02091366181882,54.14169118308251
42,0.004200000000000001,42.95100381794993,64.22541447201525
43,0.0043,45.933938454186055,75.12282521500732
44,0.0044,48.96078271900217,86.6952458963705
45,0.0045000000000000005,52.02485236045454,98.88129879773543
46,0.0046,55.120626649533655,111.59622160970432
47,0.0047,58.24404120068677,124.73416928573214
48,0.0048000000000000004,61.39066590930368,138.23354910173765
49,0.0049,64.55746445192399,152.04129467033437
