,bias_harg_,bias_harg_Rs,bias_livia_,bias_modif_,bias_modif_droog,bias_Berti,bias_droogersAllen2,bias_traj_balk,bias_Ravazzani,bias_perc_harg_,bias_perc_harg_Rs,bias_perc_livia_,bias_perc_modif_,bias_perc_modif_droog,bias_perc_Berti,bias_perc_droogersAllen2,bias_perc_traj_balk,bias_perc_Ravazzani,MAPE_harg_,MAPE_harg_Rs,MAPE_livia_,MAPE_modif_,MAPE_modif_droog,MAPE_Berti,MAPE_droogersAllen2,MAPE_traj_balk,MAPE_Ravazzani,MAE_harg_,MAE_harg_Rs,MAE_livia_,MAE_modif_,MAE_modif_droog,MAE_Berti,MAE_droogersAllen2,MAE_traj_balk,MAE_Ravazzani,KGE_harg_,KGE_harg_Rs,KGE_livia_,KGE_modif_,KGE_modif_droog,KGE_Berti,KGE_droogersAllen2,KGE_traj_balk,KGE_Ravazzani,R_harg_,R_harg_Rs,R_livia_,R_modif_,R_modif_droog,R_Berti,R_droogersAllen2,R_traj_balk,R_Ravazzani,RMSE_harg_,RMSE_harg_Rs,RMSE_livia_,RMSE_modif_,RMSE_modif_droog,RMSE_Berti,RMSE_droogersAllen2,RMSE_traj_balk,RMSE_Ravazzani,WAPE_harg_,WAPE_harg_Rs,WAPE_livia_,WAPE_modif_,WAPE_modif_droog,WAPE_Berti,WAPE_droogersAllen2,WAPE_traj_balk,WAPE_Ravazzani
11800,-3.623980353869028,-9.230829081415934,-1.456493219819423,-17.24678948386296,0.571638638758478,-11.68784226391758,2.455264843952596,-14.281074491233168,-62.59513319749387,18.579930108169343,14.114586405534023,12.652793637006592,-6.469197369758657,34.83983338478593,3.09676458536169,36.72333029221995,1.295581384813238,-90.5969603069225,10.5385871317652,17.054219580562062,9.409760409664676,27.009414847559665,8.72761777501512,19.682066866338836,8.792846409197185,23.31978031087057,92.52329634080799,7.131896203574459,11.541293188621488,6.367972642172577,18.278384075931953,5.906338610444589,13.319665739578959,5.950481515244913,15.78145633639894,62.61432748667482,0.8954659343008629,0.7859879964477492,0.9696468778326415,0.6184543855365668,0.9363635923755019,0.7341269680889129,0.9527180555250414,0.6727612755232459,-0.31011281259866985,0.9922261482007136,0.9907166320649147,0.9895085149336211,0.9923060538959805,0.9939222421261842,0.9921164889743189,0.9935123253809195,0.9926346756541331,0.9922261482007148,9.373237220617625,15.13094837732425,8.528876001623328,24.62404383061811,7.213938967493371,17.794277707981113,7.172942699689529,21.260073612956557,82.61397008110505,10.536379377329038,17.050646850321893,9.40778913590398,27.00375657907431,8.7257894049861,19.67794362193295,8.791004374261792,23.314894992963346,92.50391340878963
11801,-1.160714435816286,-12.850356699095112,3.4687264250431817,-16.605558882462397,3.3317692447572465,-10.470154326598383,5.229441195261608,-14.13128623945359,-69.2570820806648,9.430008622522118,-6.0199000715778475,9.568650429784135,-12.7753204513105,22.271748867215727,-4.514376703174487,23.695309969322274,-8.032622860589612,-90.06910870475173,8.1524101694803,18.567459115704416,10.624130059608571,22.793602934915494,8.340541838286692,15.269792198885504,9.797954169203098,19.938601573397843,91.06339440572097,6.200209688509838,14.121239916408621,8.080044153589595,17.335378718085096,6.3432907861729175,11.613242165794661,7.451706808729062,15.164044507171743,69.2570820806648,0.9760087937835339,0.7571199940636788,0.897482447130534,0.688875799250542,0.9556176307034457,0.8062285078490912,0.9224477281312179,0.7296819324700141,-0.28791126016106316,0.9906701833679626,0.9880111927789145,0.9875108583889267,0.9909060253967382,0.992958845838901,0.9905346235569198,0.9923833027123959,0.9911940366664838,0.9906701833679626,7.762061151065277,17.990281762908488,11.15468381847284,21.810882108631546,7.463597077475804,14.82973121481241,9.006669666052927,19.136429556039623,86.1735723950983,8.152410169480302,18.567459115704413,10.624130059608573,22.793602934915498,8.340541838286692,15.269792198885504,9.797954169203098,19.938601573397847,91.06339440572097
11806,-3.634532130096475,-11.343514451311245,-1.3725356957234212,-13.931333820640049,2.050116463363463,-11.22001982655226,2.191644060693621,-13.759520130417975,-54.74024371876277,26.828262618828575,18.530729530074204,20.364428563114558,7.901719518172444,50.38607773780615,10.302917884489045,47.959386712787094,8.186321212371304,-80.50038465400789,11.743203252646484,20.415319097145435,11.990662811468031,23.780556408871924,10.27037049357543,20.055830989323162,10.459880305915881,23.621056615421647,85.5304514601079,7.518609281721342,13.070948731003917,7.677045757338593,15.225548625324882,6.5756251729962125,12.840785753663647,6.696959207959719,15.123428564753025,54.761041973182195,0.9009268726573088,0.7409425840365689,0.9721048010477069,0.6720513602148894,0.9548041800260597,0.7385618186602158,0.9589473992616102,0.6748685705737695,-0.21174066465168107,0.987345147338259,0.9887258221381733,0.9824974621053475,0.9882780241012851,0.9902193178943403,0.9871134351846658,0.9895991188924932,0.9882773154769923,0.987345147338259,10.165233502833553,17.09164149362185,10.37904382775913,20.735327130223986,8.03302603725906,17.395151785508947,8.23753757814609,20.572747118897798,72.41042584676417,11.742053563487815,20.413320386015958,11.989488895395642,23.778228232538577,10.269364998451318,20.053867472984344,10.4588562573041,23.618744054519578,85.5220778136109
11810,-5.573487663039871,-11.621545983470195,-4.205811668608535,-20.640361564637104,-0.5024910898382466,-14.56566711701493,1.5431399389323361,-17.157209882030934,-70.87206749230961,1.195463727973755,-3.4948510004626647,-3.4118985682278593,-20.138572776651063,14.432275939018375,-11.987084625397378,16.156547841259716,-13.701064067189723,-91.88633621964506,9.658390414878438,16.80458214621021,9.216365419174423,27.369863599010554,7.249217627962892,19.706894989039174,7.4200580169590165,23.139151937459943,92.56584458302468,7.394845263215703,12.866251968111786,7.056413463992775,20.955448837336156,5.550287401468214,15.08837733851534,5.681089552454758,17.716248851978893,70.87206749230961,0.9000012094142648,0.7841419436933584,0.9437895102654406,0.6205677501528197,0.9573384036308943,0.7354182935676941,0.9777155697688364,0.6782829400538744,-0.3088365109357918,0.9918390230883464,0.9892782119097882,0.9887846666181445,0.9919341013739329,0.9938560871664172,0.9917027625938575,0.993378335709824,0.9923781042953839,0.9918390230883459,9.804425018946985,16.475761615061124,9.538659871256455,26.425878509753105,6.675408374407055,19.162436582329953,6.756992764684874,22.52393918715092,88.50864408319262,9.65839041487844,16.80458214621021,9.216365419174423,27.369863599010554,7.249217627962891,19.706894989039174,7.4200580169590165,23.139151937459943,92.56584458302468
11813,-10.093464942279281,-12.187809447019331,-9.632967946161395,-23.11807073582303,-3.594874016578318,-18.943643606061716,-2.7417114030276046,-21.23323902519731,-70.80370710369773,-7.621155957142866,-7.522311448278673,-12.68583929225372,-24.182540971764993,6.490049161280144,-19.7041471541096,6.459177453759267,-21.007314422654925,-88.32010349531491,13.594891070957468,16.63366239202986,12.881065411654072,29.290519525934926,8.186092892146915,24.124488513933933,7.567991243054401,27.050099799614845,88.95993683992832,10.82024920079208,13.23882414829313,10.252111399667465,23.31248693623856,6.5153567330219255,19.200814202921542,6.023406202510573,21.52932445066769,70.80370710369773,0.8271219062660253,0.7856278803066079,0.8602780575527748,0.5905237541284554,0.9128398058154351,0.6707253352171454,0.9348654569462782,0.6213224912165387,-0.2572509796433209,0.9923685043977939,0.9890574554799352,0.9900681595870602,0.9928808476927534,0.9941118192360345,0.9922742068648708,0.9936637732352009,0.9927315345738122,0.9923685043977933,13.986632489254276,17.021829975604852,13.150122068585572,29.258600570519654,8.335932389447397,24.043289884636042,7.691068311843006,27.130012836534192,87.96177307019154,13.594891070957468,16.63366239202986,12.881065411654072,29.29051952593493,8.186092892146917,24.124488513933937,7.567991243054399,27.05009979961484,88.9599368399283
11816,-5.20289669426821,-11.888826095060054,-2.64343019083021,-21.611033720449374,-0.9373293633702007,-14.43070315609768,1.7327425687325422,-17.424949980606065,-74.23869606155189,1.1031411513300642,-5.415097058431979,-1.3998222254147497,-21.694730152564162,12.596810804650504,-11.946576839450257,15.162057885043662,-14.301234071011637,-94.07619349867198,9.99712314032186,16.74933684326797,9.533689579537977,27.897274477819394,8.205090460492306,19.193675030268253,8.122086022955159,22.98399369817065,94.52899320059696,7.851277805628575,13.154153927157992,7.48731853663744,21.909228172033924,6.443898281677461,15.073824005006793,6.37871043822922,18.050564854935317,74.23869606155189,0.9036709874626997,0.7839461247226119,0.9632324157919274,0.6100106938017802,0.9444819018397699,0.7396435078878567,0.973610447303599,0.6775637248824607,-0.33700192134656515,0.9900605781492229,0.9887627197588625,0.986357719449518,0.9899466903926241,0.9922508507749058,0.9898880758311683,0.9917668934898451,0.9907472109607562,0.9900605781492232,10.291357545591245,16.903159490678025,9.998742039367244,27.828664332301567,7.763111539426175,19.465185237854985,7.651806908627333,23.164487604164304,92.41508780797636,9.997123140321857,16.74933684326797,9.533689579537977,27.89727447781939,8.205090460492308,19.193675030268253,8.122086022955159,22.983993698170654,94.52899320059697
11818,-1.5859644050585886,-11.036572937076526,2.6285248214435684,-18.737046063620166,1.8566115211610668,-10.944757879575352,4.856957396503574,-14.476093324099491,-72.92367450161798,18.1007434082398,9.002572355961634,16.015886878183995,-9.295758280919665,31.207619189669565,2.9138267574548804,34.439103240844034,-0.14461834307153237,-94.12083499734739,8.714935604968579,17.19791817787293,10.505777354830613,25.57669632520769,8.09569848514245,16.412251929639535,9.54644924965087,20.74268039779114,95.12489378857842,6.680954921976448,13.184092379604293,8.053831733183225,19.60734570481193,6.20624168586094,12.581792944921942,7.318401419454125,15.901541787594974,72.92367450161798,0.9517556724442865,0.7756054515647997,0.9318750865491828,0.6437085385491038,0.9552940517064267,0.7856391024359162,0.9355869012149022,0.7123943790023781,-0.3460719742064893,0.9905498621294506,0.9904566781616168,0.985985871465856,0.9903489271330094,0.992953776414157,0.9903358995013812,0.9924548731126142,0.9913961300155436,0.990549862129451,8.399837031761859,16.637002251584267,10.925377426035308,25.087004218523177,7.382101780327553,16.19824577619368,8.711650716924083,20.401619694438466,91.76588362531504,8.714935604968579,17.19791817787293,10.505777354830613,25.57669632520769,8.09569848514245,16.412251929639535,9.54644924965087,20.742680397791148,95.12489378857842
11819,-4.168980775850855,-13.422655235787605,-0.6885755396870857,-19.64579318766997,0.2731455525549884,-13.235716958864923,2.414041968415323,-16.476457547479892,-71.02916552909262,2.3554194428508675,-5.363824928018204,-0.1442103844466639,-19.384970507943827,15.223671602777856,-10.851986995736409,16.945246544881904,-13.249364166020769,-92.06388258834359,9.278763254498099,19.039785289435688,9.97269738154824,26.08251112094161,7.891869647445731,18.058330844372104,8.490526845091651,22.262355541025173,92.66822696646612,7.112068857727286,14.593783708099824,7.64396164978823,19.99195474511635,6.049030329729867,13.841509789414498,6.507894414851105,17.063847972004545,71.02916552909262,0.9318302677405339,0.7476673793826782,0.9400816769859696,0.6449217083195027,0.9747739214049288,0.7662600736887093,0.9646361851819997,0.6964603711368065,-0.30976303005620487,0.9891661446936146,0.9891277181155219,0.985661486495157,0.9892497515505718,0.9915490724843236,0.9890127320532451,0.9909673389865026,0.9897633369225198,0.989166144693615,9.513041149043072,18.594877122858957,10.504439083788002,25.216353654818363,7.469983232293176,17.78695390565527,8.137086651179368,21.765844469897676,88.59488683103275,9.278763254498099,19.039785289435684,9.97269738154824,26.082511120941614,7.891869647445731,18.058330844372108,8.490526845091651,22.26235554102518,92.66822696646612
11820,0.27692949673306844,-10.437265130279394,5.147651410711422,-17.301105383444593,3.5207113308759874,-9.262335512093816,6.626584506857707,-13.045607547610313,-72.7504869425081,24.89008272038604,12.996172798332328,23.566618170165444,-4.197865457866411,38.53602406972792,8.889549936860398,41.92438309071179,5.333549772824378,-93.89289332116175,8.118514794979022,16.556015991300583,10.89650251865412,23.823192547838918,8.399161091383775,14.480207988372026,10.464967733459565,19.08865087599224,95.09231417543226,6.2110793044226105,12.666199530837043,8.33638208383364,18.225961513387823,6.425788083981707,11.078100173683904,8.00623588823663,14.60379483185142,72.7504869425081,0.9724241255085404,0.7897501073328226,0.8978579291228704,0.6653135982339802,0.9486964781848544,0.8108559199591496,0.9094969383966955,0.7343630672254919,-0.3458602878155139,0.9917219437866861,0.9884274112736434,0.9889633328460777,0.9915184373720077,0.993531847172145,0.991605369269052,0.99309012092386,0.9921658685084085,0.991721943786686,7.544819584408935,16.15160766526137,11.243689172801693,23.415027804777775,7.537033115550797,14.337188229167712,9.696170074619076,18.776286142000703,91.45381624084808,8.118514794979022,16.556015991300587,10.89650251865412,23.82319254783892,8.399161091383775,14.480207988372024,10.464967733459563,19.08865087599224,95.09231417543226
11826,-2.738585085704903,-13.133212876904269,1.305929573275793,-18.6278697668918,1.4145554750711733,-11.881846096973998,3.7250938257553083,-15.323088931199637,-70.80899102406707,9.056077496383889,-2.7151548436664927,7.5225218948668084,-14.546430067661131,22.31720973067631,-4.938798322445819,24.288616868767658,-7.911928374191928,-92.1689129480892,8.440268532595393,18.902786447808115,9.53264513490779,25.163119578031505,7.837307209764216,16.74939303748709,8.756783887051547,21.225794806289887,93.07770789381856,6.420945597919624,14.380320123907909,7.2519725621448154,19.142876942897832,5.962241963479911,12.742123201002883,6.6617350780197615,16.147551845946186,70.80899102406707,0.9474472328448321,0.7519068790076493,0.9346803429101076,0.6528186861913379,0.9693269442602909,0.7798085670288515,0.9481366726464153,0.7072169254485378,-0.31640978194506464,0.9909464094210826,0.9885245034811778,0.987793964417129,0.9909610792956757,0.9930432513304986,0.9908177631947453,0.9925192171704406,0.9914272918859419,0.9909464094210829,8.322611155093924,18.390065875572446,9.966833117011786,24.296319913213683,6.956783816888962,16.459471878393337,8.032162153826295,20.66614093880843,88.66914499171453,8.440268532595395,18.90278644780811,9.532645134907789,25.163119578031505,7.837307209764215,16.749393037487092,8.756783887051546,21.225794806289887,93.07770789381857
