,c param.,WAPE in %,variance
0,0.2,40.7414626753157,20.553420952346624
1,0.21,39.3451437768009,22.139209136795728
2,0.22,37.92381515936101,23.805083660607057
3,0.23,36.48040711122096,25.540310783165843
4,0.24,35.01838042361269,27.328165207752694
5,0.25,33.54226771590718,29.149910109132836
6,0.26,32.0577470626997,30.97365208185222
7,0.27,30.572196470974067,32.76268147959737
8,0.28,29.094044498302132,34.46833362556745
9,0.29,27.63393695590458,36.035542469665884
10,0.3,26.20281958859887,37.40852049657214
11,0.31,24.815367400248036,38.51502500352081
12,0.32,23.488200366572396,39.278519998713314
13,0.33,22.23959323736235,39.61709003533812
14,0.34,21.0922434219941,39.456343609483056
15,0.35000000000000003,20.072557444257736,38.7345622957243
16,0.36,19.209506042291334,37.42510429247076
17,0.37,18.530697455260377,35.539125870065874
18,0.38,18.0665283956895,33.14198000183613
19,0.39,17.845664307578158,30.37070012812254
20,0.4,17.893253605374912,27.422678910340206
21,0.41000000000000003,18.22688086880482,24.54190871000107
22,0.42,18.855163104107206,22.001732147962066
23,0.43,19.77592238710275,20.071669464914194
24,0.44,20.97616299748667,18.99487514457677
25,0.45,22.43554758317637,18.947929518001292
26,0.46,24.134643112190197,20.038056957334607
27,0.47000000000000003,26.048426680616334,22.38428237969617
28,0.48,28.15793318675747,26.05692082116401
29,0.49,30.44473202058044,31.129991645047504
30,0.5,32.89415266005995,37.65503807555998
31,0.51,35.49306771040601,45.69967939065111
32,0.52,38.23204901022477,55.31917980025659
33,0.53,41.103508288799624,66.57474037263339
34,0.54,44.101731795123584,79.55792615103414
35,0.55,47.2224156298665,94.30628226007721
36,0.56,50.46273437874745,110.89869163019017
37,0.5700000000000001,53.82131681696153,129.40777041383387
38,0.58,57.29612829419711,149.90051138717578
39,0.59,60.887107175785566,172.45710226452158
40,0.6,64.59493717446635,197.11315282191586
41,0.61,68.41992846046512,223.94753145998166
42,0.62,72.36314287615784,253.0239263317113
43,0.63,76.4263918819275,284.41844389177567
44,0.64,80.61036199539747,318.2402872735874
45,0.65,84.91679826243495,354.57501990216764
46,0.66,89.34755287549805,393.5584340358459
47,0.67,93.90511082462434,435.29358441437745
48,0.68,98.59196037143309,479.8946239554254
49,0.6900000000000001,103.41046772947495,527.4985568886921
