,var_PM,var_harg_,var_harg_Rs,var_livia_,var_modif_,var_modif_droog,var_Berti,var_droogersAllen2,var_traj_balk,var_Ravazzani,se_PM,se_harg_,se_harg_Rs,se_livia_,se_modif_,se_modif_droog,se_Berti,se_droogersAllen2,se_traj_balk,se_Ravazzani,mean_PM,mean_harg_,mean_harg_Rs,mean_livia_,mean_modif_,mean_modif_droog,mean_Berti,mean_droogersAllen2,mean_traj_balk,mean_Ravazzani,median_PM,median_harg_,median_harg_Rs,median_livia_,median_modif_,median_modif_droog,median_Berti,median_droogersAllen2,median_traj_balk,median_Ravazzani,nadm_vyska
11800,65155.40139303941,49429.37020603369,50154.44023394021,54253.05343879218,30643.73571413673,55646.76893566183,37833.18681606783,58763.550947008116,34084.99612304163,310.8130433271344,45.12323451984001,39.30226226235014,39.58947154624107,41.17533144933086,30.945383194699215,41.70085765592157,34.384401812480604,42.85278248951873,32.63672975108032,3.1165538025153596,790.9412887808501,748.5860183950058,683.0559738918014,773.9185242742105,589.3694366882017,797.6223153713398,654.3396323213133,819.6371966445461,624.0312306645624,59.360669535140445,895.2508258947387,842.8398436402081,767.3024635377351,871.6740434331964,663.6381820321783,897.9524292231627,736.9150866083578,922.3807279722434,701.7981489348267,66.8347206599519,180.0
11801,33099.285742894506,33544.68984939526,23397.552271076325,39360.6034358619,21113.586982096796,36838.58568814617,25786.842623838664,38767.23790038553,22682.2524530003,276.26595571655696,32.67596815600237,32.895087313082655,27.47289119622981,35.63280630300964,26.097575577730982,34.47232910337169,28.84152619101586,35.36320207931911,27.049686929796618,2.9852646487564116,856.2174772325246,843.1500792293028,711.5473324588411,895.2686231144623,669.2710240073834,893.7267503428565,738.3438043298523,915.0908635920828,697.1265450528697,76.51677896955641,903.1223320931412,888.5862098824928,749.2634953198951,943.39333062479,705.2171597287783,945.4450669296436,777.3171010788211,967.9654589289822,737.2909757240309,80.64015682608216,206.0
11806,78711.29852367402,60334.644002059256,55972.96436091508,67437.9146809661,41532.183801537394,71238.45260911027,46239.49937254312,71610.85305133204,41369.98762844501,1426.2207708052617,51.22216269144767,44.8459005937961,43.19450750613056,47.41234532656592,37.207608452007676,48.73002243966591,39.259605776821516,48.85722500351818,37.13488370272396,6.894975878143113,714.9480583755317,674.3624495894544,588.2788136692229,699.6214097732867,559.3814973783844,737.841025549757,589.6578369790313,739.4214170532773,561.3000835858643,103.68200351601413,856.9165112929714,775.082098029299,697.4030366588884,795.6675510918652,643.7357275877616,851.8474374414855,677.4849728361276,852.8564801748319,646.1544107581244,119.1674667858465,349.0
11810,6040.574808444507,6378.978163712938,5721.965627950233,7896.59370246372,3950.5014103145136,6649.229773459989,4917.125545650791,7125.0044029696965,4263.452323603863,41.00747605658763,12.445341841422401,12.789196325778494,12.112682088758842,14.229432933242064,10.064537145680491,13.057299533761134,11.228541410003977,13.516376015373593,10.455586561681606,1.0254139383881555,905.0251593153255,839.1436769393927,767.6525260235368,855.310308565876,661.0455008205125,899.0854569456991,732.8515044193283,923.2658647473205,702.2181399405496,67.28097690622974,919.1593960685741,856.994002123508,774.3931650715057,875.1344197147282,675.1027437712758,915.4877362100368,748.788594900954,940.3754393232446,715.7131013550495,68.71218272888636,182.0
11813,1299.9089541742137,2188.8008980950613,2826.2539253757614,3341.074659957007,1397.2880689812587,1966.028111112707,1713.5439445667253,2118.9037512402197,1357.7985126316232,34.9896179312145,5.630727878638205,7.306530487065398,8.302591316579452,9.027160453465417,5.837824663727145,6.924731413498318,6.464808948880847,7.1889205934230445,5.754740384539882,0.9237993913158178,955.0866552133419,833.9650759059906,808.83294184911,839.4910398594052,677.6698063834657,911.9481670144021,727.7629319406013,922.1861183770108,700.2877869109741,105.44216996896904,957.7379762187917,834.306695452921,815.7334907462581,842.5995671130191,677.7055128789123,910.6157754064352,728.1879097838073,921.1747696544812,699.8879720185771,105.48536255265489,287.0
11816,1935.9309580939225,2151.2656299178107,3124.9991888914924,3583.401621827022,1304.429426534738,1808.668539352319,1693.9596086165134,2032.3183357539394,1301.2919897563295,7.385271559953676,6.87152299320851,7.243610523256309,8.730377564114146,9.348798829622801,5.640509894211775,6.641827068922466,6.42775917525205,7.040507076655598,5.633722483265133,0.42441556832073973,942.4244589679994,879.9896986367808,799.7585458272787,910.7032966780366,683.0920543226067,931.1765066075569,769.256021094827,963.2173697927897,733.3250592007264,51.56010622937663,939.6943939943255,884.0037743112074,798.7076604459879,914.0297347419452,686.2577365705615,936.8810699544408,772.5060678577568,969.2262537610527,738.2428557966746,51.79529781003584,133.0
11818,27053.903373993617,27246.382675945002,21073.938790421806,32673.95587874617,16241.14808042998,28837.392350523143,20962.227843562538,31235.45152749655,18371.271864706272,67.52038150716221,25.68757095960462,25.778788158590544,22.67153517262249,28.22987341700544,19.90290337959054,26.5207660699986,22.61136550151248,27.601454330495933,21.167895539665768,1.2832920841902749,884.4059242257515,866.109310479588,757.0815583906981,914.7301252146009,668.2443928088654,905.8248815308538,758.1407906394312,940.4386278488294,717.4012378282138,43.11572814611012,914.8871300414638,889.6102607255829,780.3130531472121,935.6962299424594,686.2756576644261,933.6969368136065,778.4876380573431,968.4424540036509,737.8577479791406,44.285627337495676,113.0
11819,2904.0568708139162,2808.347855926342,2805.3384990619907,4367.564773758706,1732.7742101580484,2593.558601760821,2198.8511103366814,2825.9857261682596,1748.0267903367462,16.882835341881847,8.416095020002167,8.276248496084152,8.271812994804957,10.321141898630971,6.500983434343679,7.953460056617821,7.323285798482845,8.302197367327226,6.529532890208219,0.6416981157469731,917.9171713142666,867.991084462004,757.1726903198346,909.67105936338,682.6468187497311,921.1882558582788,759.4113901727378,946.8267958628501,720.6015455627391,67.29960363659633,925.3112048579301,872.0445919183919,752.5349062775563,910.0688816872884,685.7951398164051,926.3730711708637,762.5699312018868,952.1446124225034,724.7429211262382,67.61389193982468,176.0
11820,958.7753021054252,2042.1407516510992,2785.8965573802084,3438.115223539704,1233.2917665013194,1672.2734708267883,1606.9836305425613,1908.4185688596485,1242.4333083273032,4.883158016010744,4.835779509653639,7.0575003376465,8.243099933973172,9.157317776883252,5.484549843682438,6.386482429713842,6.260568879595529,6.822521114839474,5.504838909779028,0.34511072864321723,918.0614131437807,921.3845671045776,792.814231580428,979.8332300723177,710.4481485424457,960.3099491142924,806.913386998655,997.5804272260731,761.5141225724572,45.055569833683386,917.7531613723904,925.1125208576922,786.9057213925956,984.6345686757595,713.000640334845,963.0313456279489,810.6434155981376,1000.0631996183392,763.6022776112244,45.2378662239822,111.0
11826,1017.0511959880988,2141.1743154309297,2034.939022795821,3815.4578434432096,1312.717242465058,1723.9025667559763,1694.4475223259813,1938.6663299959896,1264.3000475447566,11.040694233487972,4.980574939845504,7.226601123003696,7.045045002878336,9.646758388238709,5.65840027911246,6.484319861575225,6.42868480712923,6.876375835718154,5.5530700090564205,0.5189269941013126,912.9016082541876,880.0385872257286,755.3030537313364,928.5727631334971,689.367171051486,929.8762739550416,770.3194550904997,957.6027341632514,729.024541079792,63.19371596538298,915.3937587014788,876.136069110198,759.6090380636143,918.1466895453233,686.2922242131505,928.153276610244,766.2505563887153,956.3147378098436,728.5560792488575,62.91348436540274,163.0
