,a param.,WAPE in %,variance
0,1.0,66.86310817466284,3425.449420446142
1,1.01,66.8076198434421,3410.2219476638743
2,1.02,66.75409080092274,3395.0092379228736
3,1.03,66.70251655462266,3379.8098957529064
4,1.04,66.65288500088668,3364.6273222711166
5,1.05,66.60517101227667,3349.463427552339
6,1.06,66.55943107346232,3334.3208449693334
7,1.07,66.5156219184931,3319.1975588280693
8,1.08,66.4738022470931,3304.0926581667472
9,1.09,66.4339353747608,3289.0079885171335
10,1.1,66.39600572917564,3273.948983824606
11,1.11,66.35999975365301,3258.913468545953
12,1.12,66.32587817989526,3243.8997118932916
13,1.1300000000000001,66.29361675329892,3228.9074226616913
14,1.1400000000000001,66.26325796035631,3213.9419284952874
15,1.1500000000000001,66.23484964405564,3198.99730042279
16,1.1600000000000001,66.20827746798227,3184.069852399838
17,1.1700000000000002,66.18347755684407,3169.1637838422557
18,1.1800000000000002,66.16047864729967,3154.2842095695423
19,1.1900000000000002,66.13928162495367,3139.439344331597
20,1.2000000000000002,66.1198998222185,3124.628701645413
21,1.2100000000000002,66.10226590653461,3109.8391811820297
22,1.2200000000000002,66.08642398740683,3095.072345726211
23,1.2300000000000002,66.07241725056559,3080.3328158571326
24,1.2400000000000002,66.06018159698223,3065.621308532634
25,1.2500000000000002,66.04971646036068,3050.933874105879
26,1.2600000000000002,66.0410046042012,3036.2724427862327
27,1.2700000000000002,66.03411242156928,3021.6380567469346
28,1.2800000000000002,66.02896056891753,3007.031901357748
29,1.2900000000000003,66.02553693502972,2992.4508902401503
30,1.3000000000000003,66.02385547742325,2977.8998356223083
31,1.3100000000000003,66.02387083834694,2963.3819258430817
32,1.3200000000000003,66.02559027152026,2948.8953199819175
33,1.3300000000000003,66.0290063121813,2934.440622087251
34,1.3400000000000003,66.03415189978068,2920.015437055796
35,1.3500000000000003,66.04095739402734,2905.623639357936
36,1.3600000000000003,66.0494371997881,2891.2595958945226
37,1.3700000000000003,66.05959321254109,2876.9193665336797
38,1.3800000000000003,66.07142619235964,2862.605895813873
39,1.3900000000000003,66.08495654973066,2848.3214630513708
40,1.4000000000000004,66.1001732514651,2834.067249261843
41,1.4100000000000004,66.11703401075648,2819.8433628140947
42,1.4200000000000004,66.13553926553206,2805.6529765214923
43,1.4300000000000004,66.15574132543547,2791.489752401374
44,1.4400000000000004,66.17764290177693,2777.3638321512362
45,1.4500000000000004,66.20123324313165,2763.2726728847006
46,1.4600000000000004,66.22642979184516,2749.213220124661
47,1.4700000000000004,66.25328299263977,2735.187777339869
48,1.4800000000000004,66.28175421202783,2721.1959440022774
49,1.4900000000000004,66.31187218699503,2707.2312454760113
