,b param.,WAPE in %,variance
0,18.0,18.409516091748074,38.90830102196428
1,18.1,18.350938431413244,38.197976158004295
2,18.2,18.295778983010717,37.490254914960026
3,18.3,18.24409100415235,36.78543584900593
4,18.400000000000002,18.19588375332262,36.08348491174318
5,18.5,18.15128614745696,35.38468757003194
6,18.6,18.110312350323913,34.6898825570069
7,18.7,18.07281880940275,33.99940929906952
8,18.8,18.03886032802127,33.31350066353598
9,18.900000000000002,18.00846728298942,32.63286068650399
10,19.0,17.981594129970304,31.9578317606187
11,19.1,17.95829645473949,31.28837071257022
12,19.200000000000003,17.938598591441213,30.62521449745149
13,19.3,17.922439274539723,29.968876650475522
14,19.400000000000002,17.90987143317524,29.320215527799785
15,19.5,17.90080492545635,28.67966717263582
16,19.6,17.89526805220004,28.04705272753307
17,19.700000000000003,17.893253605374912,27.422678910340174
18,19.8,17.89475492246513,26.807002909443685
19,19.900000000000002,17.89987839365085,26.200325289891772
20,20.0,17.908665890250834,25.603165502894516
21,20.1,17.9209452336258,25.015882880468112
22,20.200000000000003,17.936697075885856,24.438868157146196
23,20.3,17.95593858510468,23.872712502998933
24,20.400000000000002,17.978663876698292,23.31775249722541
25,20.5,18.004897956593563,22.774478586011966
26,20.6,18.034685347627338,22.24333846443649
27,20.700000000000003,18.06796576493414,21.72451278118477
28,20.8,18.10473233085702,21.2182132131241
29,20.900000000000002,18.144889385414846,20.72463615043489
30,21.0,18.188544248366416,20.243840179061976
31,21.1,18.23564147806492,19.776378487404823
32,21.200000000000003,18.286209233687785,19.3231490215707
33,21.3,18.34019242375045,18.884097525097342
34,21.400000000000002,18.397514577443477,18.459295478707165
35,21.5,18.458285758193917,18.049237984794992
36,21.6,18.522466160563127,17.653875813920695
37,21.700000000000003,18.590057290788664,17.27371462778927
38,21.8,18.661035268150005,16.90853162008936
39,21.900000000000002,18.735391320831916,16.55895927373977
40,22.0,18.81307108726838,16.22500962959686
41,22.1,18.89404230146812,15.907777063628247
42,22.200000000000003,18.978253353284643,15.60682878813694
43,22.3,19.065678966820254,15.322728445386835
44,22.400000000000002,19.156379419398444,15.055175132942272
45,22.5,19.25027187038672,14.804446931467854
46,22.6,19.347466766791666,14.570719911666014
47,22.700000000000003,19.44783379015802,14.353982394754464
48,22.8,19.551322879105122,14.153863433508075
49,22.900000000000002,19.657923969327573,13.970977042574571
