,var_PM,var_harg_,var_harg_Rs,var_livia_,var_modif_,var_modif_droog,var_Berti,var_droogersAllen2,var_traj_balk,var_Ravazzani,se_PM,se_harg_,se_harg_Rs,se_livia_,se_modif_,se_modif_droog,se_Berti,se_droogersAllen2,se_traj_balk,se_Ravazzani,mean_PM,mean_harg_,mean_harg_Rs,mean_livia_,mean_modif_,mean_modif_droog,mean_Berti,mean_droogersAllen2,mean_traj_balk,mean_Ravazzani,median_PM,median_harg_,median_harg_Rs,median_livia_,median_modif_,median_modif_droog,median_Berti,median_droogersAllen2,median_traj_balk,median_Ravazzani,nadm_vyska
11800,4.13950638481498,3.609491165023104,3.2789386233328837,4.595129463821594,2.2313348142855793,3.64661362063662,2.788112546676169,3.9378057930000043,2.3883529886005177,0.022696565406093126,,,,,,,,,,,2.7341602291225238,2.4309029970078306,2.365858221839255,2.5080944002430985,1.9139358159318853,2.5948255501719664,2.1245109425446604,2.6655551616497624,2.0280623404777227,0.19276345794802383,0.3176118972422265,1.7105584479130602,,1.6088302257352303,1.3470233416646464,1.9244129885303294,1.4885326249908906,1.9586900388924413,1.4586906123630152,0.1356422538652471,180.0
11801,3.873616196757467,3.6825432273693846,2.9163264318644604,4.852163688026671,2.3043555964247533,3.7007476461484914,2.850743541692755,3.970504203782707,2.413618661323863,0.030328535715916836,,,,,,,,,,,2.6447530683746776,2.4987732602063395,2.1978843469733036,2.6382689606259975,1.983702975240662,2.657498007366735,2.187378889447139,2.719563214119041,2.0694623581454836,0.22676636811920195,,0.3987506104263962,,0.3379474444306888,0.32085836030313986,0.494577509033879,0.34560257622142104,0.4891664869216058,0.3488252670923553,0.036187047921363555,206.0
11806,3.792685250614625,3.332865151237372,2.8581831919200886,4.2478640440896855,2.2329898297003954,3.5473963272322178,2.57491244119197,3.647125974799147,2.203484504959072,0.0787839488176233,,,,,,,,,,,2.6271976667400723,2.318728084672688,2.1652659505800784,2.400930150486946,1.9248168384833195,2.5430165001587475,2.0272261614876173,2.5469629067550597,1.9311927790324899,0.3565002374821938,5.810843801916562,0.9373723839538306,4.743305792024989,0.850941458168045,0.8016515605821569,1.1282564527158183,0.8254208634350828,1.0983084925769488,0.7732119043950243,0.14411930389671487,349.0
11810,3.9513041328255176,3.408744952497059,3.1497798464943965,4.151019542356669,2.108815104669697,3.497673922442773,2.625716508572249,3.772264597009972,2.2831059972277545,0.021913231780240905,,0.015486539191053136,,0.01708970283224079,0.012180815744125589,0.015687248691468165,0.013591927187379005,0.016291392080523312,0.012674188424579758,0.0012416818648636767,2.6962020635014663,2.398006216111935,2.290054410084674,2.4336412175754925,1.8891164960338378,2.5755666999304268,2.093665698964908,2.6438839350438665,2.0093582935314416,0.19226767153353078,5.0883606209869985,1.9894950689811677,6.21427785744663,1.8736367962369413,1.5697131889670914,2.2222727491827543,1.7303513066711562,2.272223878635772,1.7012045710213073,0.15951400870872268,182.0
11813,4.198940951712601,3.2356772871937216,3.3736655901120196,3.8187784836361702,2.098370401849856,3.4614817205344677,2.4874916882799356,3.621423171525036,2.186062803344758,0.05172471928632217,,0.014699385668954191,,0.015969040338248853,0.011837436446546768,0.015203640985006392,0.012888352439301998,0.015550924845195024,0.01208225233937383,0.0018585132242636179,2.7489331599682005,2.3230524650911297,2.3279853012154095,2.329836770947131,1.888085780609385,2.5458095555636637,2.026753587502174,2.573471054909768,1.9527865629370622,0.2937145690481928,5.61718130288465,1.9309429437340544,5.1991821300914,1.8091461887209703,1.5768875377128597,2.195106247574736,1.6800305603934043,2.2110337799517135,1.6527336893059221,0.24413829782068577,287.0
11816,4.071895865582616,3.5494271879607067,3.2066092095104275,4.48101450805855,2.1471087128096995,3.547451723316255,2.739944527813701,3.8829212894249836,2.3557423482578224,0.01218514501455315,,0.015395568141342006,,0.017298353165575375,0.011974119874347985,0.015391283276232438,0.013526563312460046,0.016102595295596146,0.012542395146483747,0.0009020527513661764,2.724154174963901,2.450880105706241,2.3117668061843215,2.5276613754016264,1.902404598156031,2.598991751219203,2.141992015000054,2.687466732419682,2.044539164795895,0.14360127033468645,5.515536860387316,2.0623237862077173,5.12632878184318,1.9810954307858015,1.5993415829830286,2.266656964813449,1.7965721300610795,2.332359602213235,1.7498800822784997,0.12083508893452374,133.0
11818,4.049408689357724,3.7658763265252113,2.9963976575711317,4.932605157401354,2.2567549471389805,3.685573049425878,2.914234616191198,4.061843083214032,2.4716233954381654,0.009332373008922869,,,,,,,,,,,2.7677767264526234,2.540099986030531,2.369311036868836,2.6676007155418473,1.9595264539081132,2.6661355919420475,2.222621093367937,2.7663493586277443,2.1076444156069463,0.12644854308399858,5.297635996441803,1.3320824014270163,4.679969130720863,1.2654128410048342,1.0229107370669448,1.4874061654580961,1.1583978543578661,1.5254749806743702,1.1351638430159503,0.06631230260801858,113.0
11819,3.9298297934002657,3.6541077384054113,2.884856720159674,4.757665773027735,2.255035026366281,3.6598742248197316,2.8269639365555896,3.956644548418147,2.401006167689444,0.02196725706141045,,0.015620943388528322,,0.017824343753761858,0.01227137507242086,0.015633264104645304,0.013739683181460828,0.016254742825867828,0.0126623181796265,0.0012111683141645053,2.6681746915196696,2.4362843607717757,2.200927352223553,2.5445869842895115,1.916100952608273,2.5908792203796427,2.1310412497502425,2.662143258759568,2.0247288518554374,0.18889706906103168,5.468438598195801,2.0141837125840087,4.809538364914953,1.932931603856396,1.5850664116516582,2.2308186029871395,1.7550065721101105,2.271186477075578,1.7076728590978885,0.15616953668620964,176.0
11820,4.041094812014152,3.839414335418717,3.1111715530325963,5.030835726766476,2.299092030930309,3.750680377449209,2.9711914126199424,4.137572479442937,2.519636580739531,0.009180790733267562,,0.01601212882402096,,0.01832891058928713,0.012390669199066224,0.01582601644415818,0.014085812402072287,0.016622233997509957,0.01297136072460075,0.0007829907447697978,2.734310470644705,2.5847584283818392,2.3612802190031634,2.734438721558975,1.9927548933069126,2.702880141612283,2.26284617180439,2.8062448456106304,2.1397477696745577,0.12639430703633836,5.352402352524964,2.1987304013504287,4.984164800861688,2.199938957450077,1.6935021185761228,2.3713634555578533,1.9194042044171606,2.4460821210517327,1.8455701541110656,0.1075175932833299,111.0
11826,3.945029668321882,3.6317676839840294,2.9269239839919408,4.739580614112064,2.227523229682278,3.622414343589002,2.809893459436308,3.9309235804259806,2.385957671365034,0.018726750193554666,,0.015573119437478111,,0.017790433951267975,0.0121962889609716,0.015553052819063778,0.013698137181120961,0.016201823060359513,0.01262257476695019,0.0011182728811123712,2.668161244541039,2.457367218721992,2.207543855359623,2.5822927477380895,1.92495935149083,2.6031168647225513,2.150414495228099,2.6796275608861686,2.038247612231829,0.1764583602317986,5.552131150560999,2.0436089377734192,5.003273914644182,1.9764186771686867,1.6009924968352673,2.2500840854227113,1.7785666626775898,2.3064897976986085,1.7317646367935686,0.1467472502144345,163.0
