,c param.,WAPE in %
0,900.0,18.497255872151662
1,900.5,18.49729074280847
2,901.0,18.497325921815246
3,901.5,18.497361061799282
4,902.0,18.49739616282546
5,902.5,18.49743122495854
6,903.0,18.497466248263116
7,903.5,18.497501232803657
8,904.0,18.497536178644488
9,904.5,18.497571085849785
10,905.0,18.497605954483582
11,905.5,18.497640784609782
12,906.0,18.497675576292128
13,906.5,18.49771032959424
14,907.0,18.4977450445796
15,907.5,18.497779721311527
16,908.0,18.49781435985322
17,908.5,18.497848985788412
18,909.0,18.497883716885003
19,909.5,18.49791840979457
20,910.0,18.497953396042085
21,910.5,18.497988933741677
22,911.0,18.498024510301164
23,911.5,18.49806004782987
24,912.0,18.498095546391983
25,912.5,18.498131251594167
26,913.0,18.498167438120134
27,913.5,18.498203803134896
28,914.0,18.49824021658965
29,914.5,18.498276656479373
30,915.0,18.498313099070106
31,915.5,18.49834983100628
32,916.0,18.49838668933749
33,916.5,18.498423902920297
34,917.0,18.498461177418626
35,917.5,18.498498411290804
36,918.0,18.4985356046032
37,918.5,18.498572757422064
38,919.0,18.498609951290536
39,919.5,18.498647110948035
40,920.0,18.49868432842028
41,920.5,18.498722126492044
42,921.0,18.498760644134634
43,921.5,18.49879920578661
44,922.0,18.49883780571468
45,922.5,18.4988763638
46,923.0,18.49891488011059
47,923.5,18.498953387713158
48,924.0,18.4989923575972
49,924.5,18.4990314182622
50,925.0,18.499070436699448
51,925.5,18.499109412977393
52,926.0,18.49914834716433
53,926.5,18.499187239328393
54,927.0,18.499226166383647
55,927.5,18.499265240072674
56,928.0,18.49930427165643
57,928.5,18.499343261202945
58,929.0,18.49938220878008
59,929.5,18.499421124956022
60,930.0,18.49946040290605
61,930.5,18.49949963864441
62,931.0,18.499538832239118
63,931.5,18.499578231532077
64,932.0,18.4996177396135
65,932.5,18.49965747858291
66,933.0,18.499697346981335
67,933.5,18.4997375022667
68,934.0,18.49977761455925
69,934.5,18.499817683928004
70,935.0,18.499857710441805
71,935.5,18.499897694169384
72,936.0,18.499937635179315
73,936.5,18.49997756003715
74,937.0,18.500018023076308
75,937.5,18.500058726125168
76,938.0,18.500099603472812
77,938.5,18.500140437264406
78,939.0,18.500181227569538
79,939.5,18.500221974457634
80,940.0,18.500262677997974
81,940.5,18.500303777065263
82,941.0,18.50034487028941
83,941.5,18.500385919867007
84,942.0,18.500426925867558
85,942.5,18.50046826578122
86,943.0,18.500509601987524
87,943.5,18.500550894382272
88,944.0,18.50059214303507
89,944.5,18.500633348015405
90,945.0,18.500674509392574
91,945.5,18.500715627235774
92,946.0,18.500756806584693
93,946.5,18.500798165457745
94,947.0,18.500839480657213
95,947.5,18.500880752252257
96,948.0,18.50092198031186
97,948.5,18.500963164904874
98,949.0,18.501004306100004
99,949.5,18.5010454039658
100,950.0,18.501086722852758
101,950.5,18.501128143797768
102,951.0,18.50116952118763
103,951.5,18.501210855091013
104,952.0,18.501252145576434
105,952.5,18.50129339271226
106,953.0,18.501334596566725
107,953.5,18.501375757207917
108,954.0,18.50141690429675
109,954.5,18.501458371706093
110,955.0,18.50150008630671
111,955.5,18.501541757249974
112,956.0,18.501583384604388
113,956.5,18.501624968438303
114,957.0,18.501666508819934
115,957.5,18.50170800581736
116,958.0,18.501749459498498
117,958.5,18.501790869931146
118,959.0,18.501832237182946
119,959.5,18.501873561321407
120,960.0,18.501915048983918
121,960.5,18.50195665219041
122,961.0,18.501998212105335
123,961.5,18.502039728796213
124,962.0,18.502081202330444
125,962.5,18.502122632775293
126,963.0,18.502164020197874
127,963.5,18.502205364665162
128,964.0,18.502246666244
129,964.5,18.502287975739588
130,965.0,18.502329269581136
131,965.5,18.502370520653294
132,966.0,18.50241205131328
133,966.5,18.502453686913686
134,967.0,18.50249532831885
135,967.5,18.502536926683806
136,968.0,18.502578482075236
137,968.5,18.502619994559716
138,969.0,18.502661464203648
139,969.5,18.50270304044643
140,970.0,18.502744709467763
141,970.5,18.50278633555347
142,971.0,18.50282791876989
143,971.5,18.50286945918319
144,972.0,18.50291114645031
145,972.5,18.502952996288602
146,973.0,18.502994803115755
147,973.5,18.50303656699804
148,974.0,18.503078288001596
149,974.5,18.503119977329682
150,975.0,18.50316169329654
151,975.5,18.5032033936814
152,976.0,18.503245083656385
153,976.5,18.5032867309381
154,977.0,18.5033283355921
155,977.5,18.50336989768379
156,978.0,18.503411417278453
157,978.5,18.503452894441242
158,979.0,18.503494411431863
159,979.5,18.503535914370616
160,980.0,18.50357737495943
161,980.5,18.503618841478623
162,981.0,18.503660404973687
163,981.5,18.503701939423852
164,982.0,18.503743431578247
165,982.5,18.50378488150144
166,983.0,18.50382662521573
167,983.5,18.50386841860521
168,984.0,18.503910169521735
169,984.5,18.50395187803001
170,985.0,18.50399354419462
171,985.5,18.50403539072349
172,986.0,18.50407731930354
173,986.5,18.504119382203946
174,987.0,18.504161548457827
175,987.5,18.504203786513614
176,988.0,18.504246136957793
177,988.5,18.50428844455884
178,989.0,18.504331196362788
179,989.5,18.50437393412595
180,990.0,18.50441662871966
181,990.5,18.50445936684665
182,991.0,18.504502309354177
183,991.5,18.50454520855105
184,992.0,18.504588144381117
185,992.5,18.50463129277698
186,993.0,18.504674700727136
187,993.5,18.504718448366464
188,994.0,18.50476215199409
189,994.5,18.504805811676384
190,995.0,18.504849671350605
191,995.5,18.504893723909877
192,996.0,18.504937732239675
193,996.5,18.504981696406574
194,997.0,18.50502561647701
195,997.5,18.5050694925173
196,998.0,18.50511332459363
197,998.5,18.50515711277203
198,999.0,18.505200857118425
199,999.5,18.50524455769858
