,wape,wape,wape,wape,wape,wape,wape,wape,wape,wape,wape,wape,wape,wape,wape,wape,wape,wape,wape,wape,wape,wape,wape,wape,wape,wape,wape,wape,wape,wape,wape,wape,wape,wape,wape,wape,wape,wape,wape,wape,wape
0,21.49446124544491,18.570186137731575,20.15293268194022,17.737309456035412,19.78196071645185,19.811521753318843,19.881798655187623,20.606524175761617,19.91488668360703,18.298888689758577,18.008058680793102,18.8113398191054,18.807798156309836,18.388952917474167,18.77253248274226,19.377635900229876,20.76222169686939,19.532037891084034,18.704138921807353,18.72685204099062,18.064394852647883,18.736897930847984,18.030020916781908,18.385251644223764,18.853591190516347,20.446924584679792,18.917024862337712,17.041988068125043,18.174600487979244,17.8174383217054,18.71754999292123,18.501174200609817,17.403219546302864,19.277585553383886,17.032589060117733,19.279240667745647,18.363812566005205,18.812439255198147,19.782881608700745,19.148371435553727,19.704560340986216
1,21.346980348353302,18.446459165758732,20.038145330608554,17.638602186895586,19.662620396148164,19.680307345800184,19.79178782225713,20.481256840262166,19.81964288891021,18.21612699751764,17.91573422979898,18.696630292511106,18.718678665932686,18.278826290755777,18.68698540617026,19.260460002281715,20.62962670183253,19.385409126455674,18.587177356612525,18.61274263088821,17.952286383971252,18.62459538517701,17.93126353662384,18.26369213150628,18.729328256884077,20.324703696703885,18.805814163036082,16.94389016662293,18.066383477194496,17.710780026298245,18.596592107850142,18.404814943464007,17.33721565460727,19.179373917090505,16.964178576762365,19.21774002361829,18.284376936710622,18.7439652195552,19.760279819861147,19.103044104061883,19.63675977448232
2,21.202699123578256,18.325782734012712,19.926720733803315,17.543559550969483,19.546804106106546,19.552008191317153,19.70521489979686,20.35927474339389,19.727813295014347,18.136399896941036,17.826902394894176,18.585091420144305,18.633052696126576,18.172325582199644,18.604573686453197,19.14668455361402,20.50024381222572,19.242563882615723,18.47326234099842,18.50172046134864,17.843247861534213,18.515176529193226,17.83577109184625,18.14527650961004,18.608406032964382,20.20523469717864,18.697617762219565,16.84935690880798,17.96137592202195,17.607657960661665,18.47841939975695,18.311842814708086,17.275274258694274,19.084777740170015,16.89932926078621,19.159065602032047,18.20799148437543,18.678734461849867,19.740821420819422,19.061413359551707,19.571997233574915
3,21.061428328654305,18.208013196392976,19.818489100233208,17.45250968647646,19.434063472557984,19.427081347060298,19.622300632795273,20.240007851353447,19.63928532276044,18.060197420873955,17.741656931160716,18.47768797776119,18.550975332314586,18.06996696413412,18.525725208857523,19.035654869641373,20.3739920376857,19.10334344157444,18.362613475617334,18.393789266850355,17.737662970539205,18.40859528728994,17.74351450479538,18.03024810505344,18.491334741489403,20.088689124874033,18.592019230602908,16.75792220085005,17.85905520316677,17.50755576205291,18.363239554663178,18.222395640937616,17.2170270993056,18.993476824871113,16.83825509226835,19.103526302858377,18.13560880388874,18.616580308353555,19.72448886361679,19.02366118018925,19.51005731220806
4,20.923614937355715,18.09293680067073,19.712935079555784,17.36535901659452,19.325181765332296,19.30664136394984,19.542926257330947,20.123705022376075,19.554100171030147,17.987871852470693,17.659952759500026,18.373993944257965,18.47234147503866,17.97117018747851,18.450833843780526,18.927744518026657,20.250425831942845,18.967908834922937,18.255175016669543,18.289118365547008,17.63531785047417,18.305402520169277,17.655098551442624,17.918848512055526,18.377849723705314,19.974721894807576,18.489716391349067,16.669809861303055,17.75955358591726,17.411069099299688,18.251314627854043,18.136245592492163,17.16256837486086,18.90507184939345,16.78119915045702,19.051593176143356,18.066574437166842,18.5579356274526,19.712590631475457,18.989499705105345,19.450746091527154
5,20.789095474993093,17.98161016783058,19.61035582380898,17.282305479964368,19.22026550592892,19.18926207389013,19.467268773340752,20.01085348495024,19.472025182976065,17.919285877810864,17.582864774755706,18.2737860474224,18.39734986103466,17.875651665702318,18.37914538877873,18.822813169750823,20.129651046063938,18.836060762399708,18.15122134519319,18.187752335268005,17.536702883806342,18.205558253343103,17.570171248283728,17.810962819381114,18.267851315804513,19.863694960638792,18.390335203168014,16.585510542522492,17.66342219194712,17.318008636449324,18.142839491936137,18.05342764565003,17.112038140478948,18.819804943341264,16.728576894691926,19.002747051702222,18.000755864243875,18.503072568694414,19.704809674312695,18.958719099507537,19.3946196413317
6,20.658240465923065,17.873988541637303,19.51044703683599,17.20242486872947,19.11954270547292,19.075291380479566,19.395566420999522,19.900966420445002,19.39300673259656,17.85449367501141,17.509784450798882,18.177241295902117,18.32595742002006,17.78382087395601,18.310870330409756,18.721553299976254,20.011229074873278,18.707914057277176,18.050950570861556,18.089226149809342,17.441812950469235,18.10908567904259,17.4887980401524,17.706404502686876,18.161278888400254,19.755553739606533,18.294100587268378,16.504533290697253,17.57062264160148,17.227866486827462,18.038048062375147,17.974299138316994,17.065177721879774,18.737609381802166,16.680177154682923,18.957140707904472,17.938228197484055,18.451341274404147,19.701025728092667,18.931457981858163,19.342148723692677
7,20.530900696112216,17.76976107920512,19.413555839380372,17.125325914382213,19.022371160309472,18.96440065700075,19.327183179935943,19.794345400700355,19.31688579399343,17.79369096571058,17.44030370827893,18.08468844484269,18.257543772327587,17.695389873534214,18.245728684340847,18.623737471141226,19.895139705690628,18.58286405871978,17.95416038704076,17.993552197775134,17.350600848520077,18.0156914317413,17.410967280427066,17.605353806131625,18.05801417797612,19.650320117214314,18.201750368107767,16.427242275099186,17.48122416306453,17.141087057133703,17.936362984236204,17.898131884564773,17.021991513562188,18.65858915746915,16.636324147806008,18.91586256329754,17.878799186061816,18.402996844788866,19.70045882672548,18.907837486830704,19.29284037457991
8,20.406758563728513,17.669245621107414,19.320585516470246,17.051908598653558,18.92806639195408,18.85650287585371,19.261532478678625,19.690373015657304,19.243997923776217,17.737113933865107,17.37478568091372,17.996454141670217,18.192063543910965,17.610382516775935,18.183988729308034,18.529064335886073,19.7818109717716,18.460983020782734,17.86039166873999,17.900375334507494,17.262469532500557,17.925083320884404,17.337092380343897,17.507932150011595,17.958654495057733,19.547687096295697,18.112906126479526,16.353576876433234,17.395603571045726,17.057386657646802,17.837653376441448,17.825419166445915,16.982577301899088,18.582966764634136,16.596447546481585,18.8778396472821,17.82248559519549,18.35817127668236,19.703351047452063,18.887930714691723,19.247098841049244
9,20.285609865436125,17.572426462278145,19.230889115970506,16.98230239480913,18.836666429168226,18.7516140750566,19.19903013769855,19.589488109730233,19.17437130265623,17.684302565853123,17.31281730716377,17.912308613480484,18.130338124857808,17.528940150532,18.125149223019182,18.43744716037446,19.67149592342371,18.34269957173019,17.769950984995557,17.810007811828193,17.177629276225378,17.837382634138546,17.267091690990917,17.414167369159927,17.863169559706677,19.448178318120267,18.027445801815812,16.28375864035108,17.312864234126717,16.977520680786224,17.74177735909419,17.755551753164585,16.947517422139065,18.510297620019653,16.560430496643654,18.843374997731257,17.76906911698189,18.317377153483793,19.70960736090147,18.871478376990478,19.20465379778106
