,bias_harg_,bias_harg_Rs,bias_livia_,bias_modif_,bias_modif_droog,bias_Berti,bias_droogersAllen2,bias_traj_balk,bias_Ravazzani,bias_perc_harg_,bias_perc_harg_Rs,bias_perc_livia_,bias_perc_modif_,bias_perc_modif_droog,bias_perc_Berti,bias_perc_droogersAllen2,bias_perc_traj_balk,bias_perc_Ravazzani,MAPE_harg_,MAPE_harg_Rs,MAPE_livia_,MAPE_modif_,MAPE_modif_droog,MAPE_Berti,MAPE_droogersAllen2,MAPE_traj_balk,MAPE_Ravazzani,MAE_harg_,MAE_harg_Rs,MAE_livia_,MAE_modif_,MAE_modif_droog,MAE_Berti,MAE_droogersAllen2,MAE_traj_balk,MAE_Ravazzani,KGE_harg_,KGE_harg_Rs,KGE_livia_,KGE_modif_,KGE_modif_droog,KGE_Berti,KGE_droogersAllen2,KGE_traj_balk,KGE_Ravazzani,R_harg_,R_harg_Rs,R_livia_,R_modif_,R_modif_droog,R_Berti,R_droogersAllen2,R_traj_balk,R_Ravazzani,RMSE_harg_,RMSE_harg_Rs,RMSE_livia_,RMSE_modif_,RMSE_modif_droog,RMSE_Berti,RMSE_droogersAllen2,RMSE_traj_balk,RMSE_Ravazzani,WAPE_harg_,WAPE_harg_Rs,WAPE_livia_,WAPE_modif_,WAPE_modif_droog,WAPE_Berti,WAPE_droogersAllen2,WAPE_traj_balk,WAPE_Ravazzani
11800,-0.1464155398452,-0.3729426462622403,-0.05884503232283291,-0.6968023406032998,0.023095263140938824,-0.47221054409691854,0.09919726170879022,-0.5769819444443345,-2.528959686276624,-7.819899861581625,-21.605688024910265,-9.831801378531804,-27.336084585149546,2.486170349068578,-19.703540739914196,4.389168300215163,-21.93878573736324,-92.690389176965,16.892151330390526,19.774155506210313,19.413856751778326,28.88316149918051,15.904805721084825,22.564514441954824,16.081446845732426,25.43332778875919,93.09196797947891,0.46185848351872905,0.540657095495644,0.5308059502459407,0.7897119146238225,0.43486287254510514,0.616949979766537,0.4396925239234946,0.6953879333426208,2.5452835650023866,0.8925069009101279,0.819143752621039,0.9224469348177604,0.6211016992395146,0.9124751667537105,0.7379159336872751,0.9303785008811495,0.668819636853531,-0.31043636925895024,0.9508978860169666,0.9672267066072882,0.9366346043609746,0.9510070705363916,0.955457585582078,0.9502736437589753,0.9546984695977987,0.9530436668182515,0.950897886016966,0.6494070087248275,0.6583169832096826,0.7449732794697335,1.0462602446052534,0.6040650470055817,0.8406919014895968,0.6136700931231129,0.9405751758046822,3.1594938975575864,16.805215899731355,19.672387845523954,19.313943368073613,28.734514353259428,15.82295166307474,22.448386203327384,15.998683704447926,25.30243520668566,92.61287031045401
11801,-0.0403636247608493,-0.44686872140137446,0.12062430473695405,-0.5774551663989017,0.11586164472103219,-0.36409763451403304,0.1818528275355023,-0.4914128036637408,-2.4084019177114406,9.76956891142844,-7.585617980988485,9.752842051737764,-12.515558137560909,22.462943577704415,-4.218556152526026,23.94979462551493,-7.760337679203574,-90.03829324234101,15.186764213554472,21.0449670415248,19.928503864103277,24.735373192461974,14.833564818489126,19.00620993373329,15.680000925070273,22.240795661203492,91.37919520581278,0.4016524125248093,0.5565874115691666,0.5270597174270375,0.6541895414815654,0.39231116068633787,0.502667320404144,0.41469730558697393,0.5882141256806215,2.41675406906182,0.9554269055956385,0.7835870618617075,0.8543197310205259,0.685579631138834,0.9424525443436901,0.8028790023604532,0.9208489844377178,0.7210197233802924,-0.2885487445552044,0.9620667043505056,0.9721224540726201,0.9486712547902266,0.962329719001104,0.9665286018896535,0.9614893317967499,0.9657364768096912,0.9640235708406601,0.9620667043505058,0.5399185797423025,0.6744694596904854,0.7261152730034486,0.8677405512916689,0.5191441884005392,0.6795447868878426,0.5522510803963496,0.7910834206170289,3.0067256443560786,15.15003676792918,20.994072204952975,19.880309065542498,24.675553532317608,14.797691545049219,18.960245597152557,15.642080643087755,22.187008850410646,91.15820511365024
11806,-0.1491386898067515,-0.46546758221328594,-0.056320364780419685,-0.5716556626548771,0.08412408319779031,-0.46040012762065263,0.08993149930577697,-0.5646054928576704,-2.246200593555307,3.271556086201439,-9.417228946950257,0.2647261466018106,-13.098576015191659,19.117853686517773,-10.069526474633633,18.036228061027703,-12.428143082351909,-84.12218555800021,18.79226880719295,22.964236726307206,21.678745565293216,26.642158089277025,17.66240952665292,23.769887909459435,17.821188424424523,26.398044913622975,86.22928410240446,0.4937100476300956,0.6033158914582099,0.5695434976699003,0.6999421556906875,0.46402641097430175,0.6244819405440487,0.468197846471833,0.6935288200356993,2.2654137399850387,0.8920568070843901,0.7734255800557104,0.9026224508751807,0.6724418747206349,0.9245470620915252,0.740842658167921,0.928673847332471,0.6715256230914998,-0.21186885024057256,0.9373339933517133,0.961585543780001,0.9210356406049482,0.9384614118963058,0.9433580770461514,0.9365549568630451,0.9423718713195872,0.9402287679983218,0.9373339933517135,0.6948149063618979,0.7338244774331696,0.8027088337042042,0.9465532073006798,0.6525703900644959,0.8541344540279708,0.6609190737435469,0.9398637772382438,2.810039761630672,18.685805066216325,22.834137557567157,21.555929082821546,26.491222412112307,17.562346771476232,23.63522448933703,17.720226139998957,26.248492209539823,85.74076979572511
11810,-0.1962705532550134,-0.40925312797950963,-0.14810779766469595,-0.726851018355947,-0.01769524042589807,-0.5129304515272999,0.054341724226400365,-0.6041917161115469,-2.495762211745072,6.520191060301289,0.5664347398286578,2.2318081919520156,-15.948489820032218,19.781554242789728,-7.315359490885526,21.72630965934237,-9.35440834392324,-91.45940950074879,15.841261067481508,19.504945619903985,17.719109607818506,28.7928149397428,14.37484732234639,22.17540151632191,14.529571910996838,24.89813777809963,92.8737353083494,0.42711240778609083,0.5258927462886902,0.47774299888008903,0.7763124705455039,0.3875749301302886,0.5978936332728068,0.3917466176822262,0.6713041045465603,2.5040635678346064,0.8916845068750425,0.8103859768623045,0.9218442594477478,0.6172298564983696,0.931071919194876,0.7323456111914911,0.9536357682398791,0.6698552208587393,-0.309507847938177,0.962135319077018,0.9735445783094834,0.9513224016928369,0.9622633055517957,0.9659680762092128,0.961672713609626,0.96525181725095,0.9637084453193168,0.962135319077018,0.5799556018336651,0.6338060016128725,0.6479175772324856,1.0160755833596793,0.516968980720025,0.8027509679485927,0.5227951304206431,0.9000817132660097,3.1041180297687423,15.801236525288179,19.455664409549783,17.674340492083,28.72006699174098,14.338527822230517,22.119373130080234,14.49286148361827,24.83523012435983,92.63908045848193
11813,-0.3486124781748969,-0.4209478587527912,-0.3327076328193336,-0.7984619727641229,-0.12416132089550946,-0.6542837946073966,-0.09469441981674843,-0.733362836110711,-2.445449202879557,-12.154566031138012,-21.09303353821394,-15.403428128920261,-27.845258050625272,0.2913419031709788,-23.524991422683478,0.32226599412302964,-25.44907646197193,-88.89328408689056,17.936705488210432,19.632741653329607,19.004205665760086,30.60044207709901,14.710680903473019,25.85449483600865,14.542122111332764,28.46452865650883,89.25366180858376,0.4930680449712526,0.5396909455192666,0.5224129113346344,0.8411856993542367,0.4043867854126794,0.7107227818893077,0.39975321688149407,0.7824708670674222,2.453523505942033,0.8213262379392023,0.8130944315698538,0.8630633164357605,0.5867340213943399,0.8933425816068411,0.6678151412562765,0.9150964105563961,0.6137513288593426,-0.25804499789835167,0.963199670018669,0.9727482363045231,0.9533994965609162,0.9638930005595566,0.9668018749515391,0.9627769346231081,0.9661263592277076,0.9646568499664419,0.9631996700186694,0.6739506503011885,0.6537882572674293,0.7021046862790716,1.0998631948738409,0.5508946305970825,0.9427812409862344,0.5422554019358083,1.0366928928537607,3.0547482693460872,17.897723769538363,19.590073950924914,18.962903956294223,30.533938346797235,14.678710281842937,25.798305440204153,14.510517817366324,28.402666892153594,89.05968743924595
11816,-0.1804727279737704,-0.4123873687795788,-0.0916925869915724,-0.7496213050240477,-0.03251311666512539,-0.500557385279192,0.06010359163962288,-0.604418738751987,-2.575115514825404,11.08063708990756,5.213670566413406,6.67283738862415,-14.130311839663893,26.82348346597213,-3.3118223931236845,28.74132639672234,-5.621234087845963,-93.4915948933779,16.70304271526181,19.583150909001418,19.906427916570436,29.507335155505604,15.203255360090346,22.22846951911654,15.422840478974054,25.04407772213903,94.84743046468166,0.45501663547380833,0.5334752230770432,0.5422817871754332,0.8038253025592969,0.4141601156223243,0.6055377804355915,0.4201419528059943,0.6822392888488549,2.5837902368496084,0.8969181278092182,0.8094973096534099,0.9144803399349174,0.6095460011822285,0.9220299922135794,0.7394579226318179,0.9496079877839364,0.6711270455182076,-0.33753437042828494,0.9567203667595258,0.9735711109883279,0.9399797455596145,0.9565842738786579,0.9623202215002906,0.9559160300069371,0.9615077013252668,0.9596999519552052,0.9567203667595263,0.6160490815578652,0.6424007342359249,0.7297379452098233,1.0599727855493133,0.5528860016669376,0.8223053299825523,0.5584982917497251,0.9210284000278749,3.2076405192871507,16.657022002285903,19.529194837493346,19.851581142773533,29.42603568061205,15.16136690520501,22.16722498822049,15.380347016731545,24.975075544976207,94.58610404360216
11818,-0.05725983998112452,-0.39846568958378725,0.09490056030400794,-0.6764844506596701,0.06703131436601668,-0.3951507882634258,0.1753561444581475,-0.52264652639486,-2.6328446713430504,27.03654358848076,18.984758792093885,24.014177194788548,-2.3989931814783017,41.01592116932346,10.667318209454784,44.59589222655415,7.541540960499929,-93.676002541816,15.893159231362777,19.128459655932485,20.66477920738415,27.103524322601412,15.17335800330881,19.791781594299792,16.171978235798974,22.83428990672425,95.41220960782864,0.4398871623037157,0.5294330544857788,0.5719549494747994,0.7501650382493878,0.4199646714369178,0.5477923247173637,0.44760424981742747,0.6320021616890342,2.640796931719675,0.9380136589844387,0.7978543864373632,0.8743795350724024,0.6436370081158778,0.9324485912101993,0.7852748188358201,0.9257930185546073,0.706044455430826,-0.346613450064704,0.9559915591857184,0.9756055924928319,0.9382116380473959,0.9557155325219281,0.9624454305652974,0.9551083291403093,0.961478434457837,0.9593605128022323,0.9559915591857184,0.5932772970212827,0.6386349203215336,0.7778645213418636,0.9945066765045316,0.5510218665346027,0.7481571806680583,0.5846724544637565,0.8533394316512236,3.258826406759954,15.853447983791995,19.08066456459875,20.61314541002807,27.035802433658667,15.135445278256606,19.7423291017326,16.131570320539183,22.777235288042792,95.17380905940053
11819,-0.1451236838669103,-0.4672473392961159,-0.023969556184782633,-0.6838769553453353,0.009508292541970874,-0.4607399522724337,0.08403364810293681,-0.5735512694656238,-2.472550178999254,-16.652456039879937,-30.017289169208773,-17.45704419644733,-34.43520023643416,-8.696900224500848,-27.36540963589029,-6.556763900070969,-29.53670654341379,-93.53765635037993,16.429705841886737,21.46067191799611,19.98544335183341,27.84902579303086,15.09478698422852,21.499908830249296,15.515430162130764,24.50427682284672,93.01089188657163,0.4383732531643506,0.572608216746041,0.5332465415016194,0.7430606580444343,0.4027552860519905,0.5736551261085144,0.41397878086638235,0.6538169125271164,2.4816930776742256,0.9207019750977643,0.7723127445988055,0.8846218353777737,0.6433978946106939,0.9458383625812705,0.7647184615292075,0.9494810801212862,0.6894888272294624,-0.3103407994148959,0.9563280570854159,0.974187128256515,0.9422164291311657,0.9564318104111916,0.9613880773937821,0.9556883977081478,0.9605051521403533,0.9586021546883153,0.9563280570854152,0.5974543548733748,0.6875621246861756,0.7340167443308085,0.9801276350373079,0.5456286008783257,0.7744211901937137,0.5636261619651394,0.8793523538277886,3.082921860854149,16.382549480569583,21.39907573308488,19.928081351755488,27.769093824968543,15.051462092359852,21.438200027983324,15.470897944831343,24.433944916554903,92.74393304589341
11820,0.009897523782701572,-0.3730302516415416,0.18397824306770444,-0.6183454778915255,0.1258310311485534,-0.3310379973812406,0.2368356514146442,-0.4662530083847359,-2.600119103277204,-12.713474876873471,-36.759534962118934,-8.037717298134229,-32.7768655256866,-8.108154235969055,-23.59350883787477,-4.794180791103839,-27.70826668143343,-95.73170175773281,15.647001610884223,18.848277332083256,20.616167057525494,25.529201488770102,15.557157333494654,18.417406314703545,16.8695105210171,21.45572648750472,95.42151694021624,0.4278376033883529,0.5153704206273049,0.5637100144995241,0.6980476293794249,0.4253809819044148,0.5035890692841181,0.46126479252268077,0.586666175900731,2.6091205289443433,0.9488260270022636,0.8146683888333291,0.8572713879586016,0.6610584503680527,0.9274227681460104,0.8054903957184291,0.9053593612774543,0.7233896064014518,-0.3466001064215316,0.9584254868892709,0.9733088642879935,0.9445745767893063,0.958141764505267,0.9631706057655727,0.9578001457295303,0.9623713055904791,0.9606398693203743,0.958425486889271,0.5741985418575638,0.6238142968230765,0.7642291079705663,0.9417691687821361,0.5551011336202996,0.6980161021678326,0.6018785029904838,0.8079591064167946,3.2316010500471353,15.60223551141523,18.794352377075885,20.557184166865824,25.456162397854744,15.512648278663244,18.364714082444085,16.821246821379486,21.394341615821002,95.1485158103476
11826,-0.09604960523002655,-0.46061738918141576,0.04580249144936485,-0.6533299062810639,0.049612296388296076,-0.41672856285366466,0.13064914187850096,-0.5374222807349744,-2.483463329329982,-19.81490227876231,-35.612526573079364,-19.50108837893443,-37.19050343943194,-13.419616886917188,-30.06478310002365,-10.97048685300107,-32.46569683502126,-94.24207715024586,16.054335534716753,21.33338085272917,19.947871052658734,26.996353631415804,15.295792713938061,20.461502542965672,15.845544000198936,23.563181512637364,93.50116974856542,0.4283555588058927,0.5692090000628584,0.5322413645380609,0.7203062450326839,0.40811641323862735,0.5459458809021891,0.42278466400000586,0.6287036771010491,2.494761974423752,0.9316407513793928,0.7769735870722498,0.8861519289027763,0.6486274822638827,0.9402974096210713,0.7752915642963133,0.9380097958052134,0.697232715895068,-0.3172048302822503,0.9582862672352718,0.9732660134226438,0.9445036975849956,0.958303205326055,0.9628572870035799,0.9576776652885752,0.9620791721556335,0.9603846363373925,0.9582862672352713,0.5757525997729364,0.6853409531771353,0.7215679513400863,0.9579867328503722,0.5387087876927029,0.7425792123190411,0.5616903610424012,0.8527717148625443,3.100061560164479,15.996663623686983,21.256745053019976,19.876212413028682,26.899374762287753,15.240845712573824,20.387998787444833,15.788622129977549,23.478535610922126,93.16528595373268
